=== アジ 売り物評価（H=1/7）===

船宿                 H  wMAPE   r      釣良Prec    F1     3分類Acc    type        tag      size
----------------------------------------------------------------------------------------------------
須原屋                1  18.8    0.734  0.667     0.123  0.58      mixed       LTアジ     None
須原屋                7  18.9    0.736  0.667     0.123  0.588     mixed       LTアジ     None
船宿 まる八             1  22.4    0.591  0.69      0.404  0.438     mixed       LTアジ     23.2
船宿 まる八             7  22.7    0.58   0.678     0.416  0.447     mixed       LTアジ     23.2
恒丸                 1  22.8    0.538  0.722     0.481  0.59      resident    不明       None
恒丸                 7  22.9    0.526  0.65      0.464  0.557     resident    不明       None
渡辺釣船店              7  26.7    0.409  0.68      0.254  0.441     resident    LTアジ     20.0
渡辺釣船店              1  26.7    0.408  0.643     0.263  0.444     resident    LTアジ     20.0
かめだや               7  27.0    0.403  0.476     0.433  0.443     resident    LTアジ     None
かめだや               1  27.5    0.356  0.441     0.387  0.41      resident    LTアジ     None
吉久                 7  27.8    0.439  0.714     0.517  0.485     migratory   不明       None
長崎屋                7  28.3    0.517  0.72      0.606  0.503     mixed       LTアジ     26.9
吉久                 1  28.4    0.412  0.684     0.464  0.444     migratory   不明       None
長崎屋                1  28.8    0.507  0.733     0.589  0.497     mixed       LTアジ     26.9
山下丸                1  29.3    0.293  0.5       0.38   0.409     resident    不明       None
山下丸                7  29.9    0.259  0.512     0.344  0.406     resident    不明       None
光進丸                1  30.7    0.578  0.652     0.619  0.528     mixed       金アジ      40.4
光進丸                7  31.4    0.552  0.658     0.622  0.511     mixed       金アジ      40.4
勘次郎丸               1  31.5    0.563  0.644     0.682  0.551     mixed       不明       None
あまさけや丸             7  31.7    0.48   0.636     0.483  0.556     migratory   大アジ      None
巳之助丸               7  31.8    0.331  0.2       0.118  0.442     mixed       不明       None
勘次郎丸               7  31.8    0.555  0.633     0.671  0.534     mixed       不明       None
平安丸                1  32.5    0.46   0.655     0.691  0.493     migratory   不明       None
こなや丸               1  32.6    0.593  0.624     0.678  0.535     migratory   LTアジ     26.1
こなや丸               7  32.7    0.593  0.622     0.681  0.53      migratory   LTアジ     26.1
平安丸                7  32.9    0.432  0.68      0.667  0.437     migratory   不明       None
あまさけや丸             1  33.2    0.417  0.75      0.462  0.5       migratory   大アジ      None
巳之助丸               1  34.1    0.273  0.25      0.2    0.423     mixed       不明       None
林遊船                1  34.3    0.623  0.72      0.691  0.569     migratory   不明       None
林遊船                7  34.6    0.618  0.717     0.693  0.567     migratory   不明       None
村井丸                7  36.9    0.458  0.536     0.375  0.5       migratory   大アジ      None
釣船 五郎丸             1  37.3    0.374  0.682     0.577  0.485     mixed       中アジ      None
村井丸                1  37.3    0.456  0.5       0.316  0.481     migratory   大アジ      None
庄治郎丸               1  38.0    0.272  0.667     0.346  0.435     migratory   不明       None
釣船 五郎丸             7  38.3    0.353  0.652     0.533  0.447     mixed       中アジ      None
野毛屋釣船店             7  38.8    0.453  0.566     0.58   0.441     mixed       LTアジ     None
野毛屋釣船店             1  39.3    0.452  0.545     0.564  0.441     mixed       LTアジ     None
秀丸                 7  39.8    0.161  0.786     0.667  0.538     migratory   不明       None
秀丸                 1  40.0    0.161  0.786     0.667  0.538     migratory   不明       None
庄治郎丸               7  40.9    0.133  0.579     0.278  0.416     migratory   不明       None
石田丸                1  41.2    0.603  0.625     0.592  0.502     migratory   大アジ      32.0
石田丸                7  42.3    0.593  0.636     0.624  0.502     migratory   大アジ      32.0
ちがさき丸              7  47.4    0.269  0.583     0.583  0.466     migratory   金アジ      51.7
ちがさき丸              1  48.0    0.276  0.587     0.509  0.459     migratory   金アジ      51.7
さえむ丸               7  48.3    0.487  0.75      0.716  0.604     migratory   金アジ      40.4
鶴丸                 1  48.3    0.666  0.8       0.727  0.6       migratory   大アジ      None
鶴丸                 7  50.2    0.636  0.8       0.727  0.6       migratory   大アジ      None
さえむ丸               1  50.8    0.482  0.657     0.657  0.495     migratory   金アジ      40.4
第八幸松丸              7  68.0    0.497  0.429     0.3    0.296     migratory   大アジ      None
第八幸松丸              1  74.3    0.379  0.667     0.421  0.407     migratory   大アジ      None
なごみ丸               7  75.4    0.899  0.333     0.5    0.412     migratory   中アジ      29.9
なごみ丸               1  77.9    0.878  0.333     0.5    0.353     migratory   中アジ      29.9
