H=7 cnt_avg vs BL-2 (アジ全コンボ):
船宿                 tag      type       cv      wMAPE    BL2      diff     n
---------------------------------------------------------------------------
[WIN] 鶴丸               大アジ      migratory  115%    50.1     89.3     -39.2     30
[WIN] なごみ丸             中アジ      migratory  190%    75.3     89.6     -14.3     17
[WIN] 石田丸              大アジ      migratory  120%    42.3     55.3     -12.9     227
[WIN] 恒丸               不明       resident   33%     22.9     32.2     -9.2     122
[WIN] 林遊船              不明       migratory  57%     34.7     43.9     -9.2     413
[WIN] こなや丸             LTアジ     migratory  54%     32.6     39.6     -7.0     385
[WIN] あまさけや丸           大アジ      migratory  135%    31.8     38.3     -6.5     54
[WIN] 野毛屋釣船店           LTアジ     mixed      56%     38.8     44.8     -6.0     256
[WIN] ちがさき丸            金アジ      migratory  63%     48.4     54.2     -5.8     133
[WIN] 第八幸松丸            大アジ      migratory  111%    67.0     72.2     -5.2     27
[WIN] 釣船 五郎丸           中アジ      mixed      54%     38.4     43.0     -4.7     718
[WIN] 須原屋              LTアジ     mixed      35%     18.9     23.5     -4.7     245
[WIN] 長崎屋              LTアジ     mixed      43%     28.3     32.7     -4.4     342
[WIN] 吉久               不明       migratory  38%     27.8     32.2     -4.3     99
[WIN] 巳之助丸             不明       mixed      43%     31.8     35.7     -3.9     52
[WIN] かめだや             LTアジ     resident   37%     26.9     30.5     -3.6     483
[WIN] さえむ丸             金アジ      migratory  90%     48.0     51.3     -3.4     91
[WIN] 光進丸              金アジ      mixed      49%     31.4     34.7     -3.3     655
[WIN] 渡辺釣船店            LTアジ     resident   37%     26.8     29.8     -3.0     399
[WIN] 平安丸              不明       migratory  46%     32.8     35.7     -2.9     71
[WIN] 勘次郎丸             不明       mixed      56%     31.9     34.7     -2.8     485
[WIN] 船宿 まる八           LTアジ     mixed      35%     22.8     25.3     -2.5     582
[WIN] 村井丸              大アジ      migratory  65%     36.9     38.9     -2.0     208
[WIN] 山下丸              不明       resident   38%     30.1     31.1     -1.0     254
[WIN] 庄治郎丸             不明       migratory  70%     41.0     41.2     -0.3     161
[WIN] 秀丸               不明       migratory  66%     39.8     40.0     -0.3     26
[LOSE] 村松釣具店            豆アジ      migratory  88%     55.0     48.3     +6.7     161
