アジ 型予測 H=7 エリア別

船宿                 エリア             wMAPE    r       lat  lon   n
---------------------------------------------------------------------------
須原屋                ?               0.2      0.0     35.4  139.71  101
渡辺釣船店              横浜港･新山下         3.1      0.019   35.42  139.65  399
山下丸                ?               3.9      0.118   35.24  139.71  254
恒丸                 大磯港             4.3      0.026   35.22  139.35  122
勘次郎丸               ?               5.1      0.477   35.2  139.77  484
巳之助丸               ?               5.2      0.083   35.25  139.71  52
釣船 五郎丸             ?               5.2      0.159   35.3  139.69  718
平安丸                ?               6.0      0.054   35.28  139.25  71
船宿 まる八             平和島             6.4      0.151   35.41  139.81  582
吉久                 ?               6.6      0.047   35.4  139.75  99
かめだや               ?               6.9      0.026   35.42  139.67  465
光進丸                ?               6.9      0.171   35.19  139.77  655
長崎屋                横浜本牧港           6.9      0.196   35.41  139.67  340
なごみ丸               ?               7.0      -0.524  34.77  138.78  10
庄治郎丸               ?               7.1      0.071   35.3  139.32  155
村井丸                ?               7.5      0.027   35.08  139.73  208
ちがさき丸              茅ヶ崎港            9.1      -0.001  35.29  139.3  133
こなや丸               ?               9.2      0.178   35.37  139.87  377
林遊船                ?               9.3      0.101   35.65  139.9  413
野毛屋釣船店             ?               9.8      0.29    35.37  139.62  255
第八幸松丸              ?               11.8     0.433   35.05  138.87  26
あまさけや丸             ?               12.7     0.092   35.14  139.65  52
石田丸                大津港             12.8     0.36    35.3  139.67  226
秀丸                 沼津内港            14.9     0.0     35.05  138.87  9
さえむ丸               ?               17.0     0.293   35.2  139.78  91
