# 釣り予測 バックテスト結果
# 生成: 2026/04/03 21:55

======================================================================
【1. 欠航予測バックテスト】
   船宿別 cancel_thresholds × 実測気象 → 欠航フラグと照合
======================================================================

  船宿                欠航N    出船N    適中率(P)    検出率(R)     F1     特異度
-----------------------------------------------------------------
  長崎屋               252    795    46.6%    32.1%  38.0%   88.3%
  たいぞう丸             218    738    42.3%    64.7%  51.2%   74.0%
  第三幸栄丸             149    735    43.2%    75.2%  54.9%   80.0%
  北山丸                51    196    44.8%    76.5%  56.5%   75.5%
  石田丸                36    439    51.7%    41.7%  46.2%   96.8%
  秀丸                 30    744    12.0%    33.3%  17.7%   90.2%
  船宿 まる八             23    594    36.4%    17.4%  23.5%   98.8%
  恒丸                 18    212     0.0%     0.0%   0.0%  100.0%
  明進丸                12    133    44.4%    66.7%  53.3%   92.5%
  勇盛丸                11    504    37.5%    27.3%  31.6%   99.0%
  幸丸                 10    411    50.0%    80.0%  61.5%   98.1%
  鶴丸                 10    375    16.0%    40.0%  22.9%   94.4%
  幸栄丸                 8    734    36.4%    50.0%  42.1%   99.0%
  明広丸                 7    560    12.5%    28.6%  17.4%   97.5%
  福よし丸                7    372    10.5%    28.6%  15.4%   95.4%
  つる丸                 5    713     2.7%    80.0%   5.2%   79.7%
  渡辺釣船店               5    228     9.1%    20.0%  12.5%   95.6%
  第八幸松丸               5    599     7.7%    40.0%  12.9%   96.0%
  ふじや釣舟店              4    747     0.6%   100.0%   1.1%    5.9%
  日正丸                 3    580    28.6%    66.7%  40.0%   99.1%
-----------------------------------------------------------------
  【全体合計】            864  10409    22.4%    51.6%  31.3%   85.2%

  [解説]
  適中率(Precision): 欠航と予測したうち実際に欠航だった割合
  検出率(Recall):    実際の欠航のうち予測できた割合
  特異度:            実際の出船日のうち正しく出船と予測した割合

======================================================================
【2. 釣果スコアバックテスト】
   combo_wx_params × 週次実測気象 → 実際のcnt_avgと比較
======================================================================

  魚種         船宿                週数     相関r      p値     方向一致率
------------------------------------------------------------
  イサキ        つる丸               42  +0.811*   1.000     88.1%
  カワハギ       巳之助丸              21  +0.792*   0.000     76.2%
  タチウオ       大貫丸               15  +0.779*   0.000     86.7%
  シロギス       須原屋               41  +0.777*   0.000     80.5%
  カマス        庄治郎丸              17  +0.773*   0.000     76.5%
  クロダイ       山本釣船店            157  +0.768*   1.000     84.1%
  イナダ        平安丸               49  +0.686*   0.000     77.6%
  イナダ        庄治郎丸              19  +0.673*   0.000     73.7%
  タチウオ       平安丸               14  +0.625*   0.006     78.6%
  クロダイ       ふじや釣舟店           157  +0.619*   1.000     77.7%
  ヒラメ        大貫丸               41  +0.614*   0.000     73.2%
  アジ         石田丸              142  +0.607*   1.000     75.4%
  タチウオ       ちがさき丸             15  +0.606*   0.006     80.0%
  アジ         第八幸松丸             27  +0.605*   0.000     77.8%
  マダイ        海桜丸               69  +0.580*   0.000     68.1%
  タチウオ       渡辺釣船店            108  +0.562*   0.000     71.3%
  アジ         須原屋               78  +0.554*   0.000     70.5%
  タチウオ       日正丸               16  +0.551*   0.013     75.0%
  カサゴ        山下丸               64  +0.540*   0.000     71.9%
  マダイ        梅花丸               91  +0.531*   0.000     70.3%
  タチウオ       こなや丸             114  +0.531*   0.000     76.3%
  クロムツ       庄治郎丸              12  +0.525    0.051     75.0%
  シロギス       林遊船               45  +0.523*   0.000     73.3%
  ヒラメ        弘漁丸               33  +0.509*   0.001     69.7%
  マダイ        幸丸               140  +0.504*   0.000     72.1%
  マダイ        つる丸              113  +0.500*   0.000     69.9%
  カサゴ        村松釣具店             38  +0.484*   0.001     76.3%
  フグ         吉久               152  +0.484*   0.000     68.4%
  タチウオ       吉久               149  +0.474*   0.000     75.8%
  マダイ        新幸丸              145  +0.469*   0.000     68.3%
  アジ         巳之助丸              20  +0.467*   0.025     65.0%
  マダコ        幸栄丸               68  +0.467*   0.000     61.8%
  マダコ        第三幸栄丸             68  +0.466*   0.000     61.8%
