# Out-of-Sample バックテスト結果
# 生成: 2026/04/03 22:00
# 学習期間: 2023-01-01 〜 2024-12-31
# 検証期間: 2025-01-01 〜 2026-04-02
# 学習済みコンボ数: 149

===========================================================================
【1. 釣果スコア Out-of-Sample 検証】
===========================================================================

  魚種         船宿                週数   OOS r    IS r     r差    OOS方向     IS方向
------------------------------------------------------------------------
  イサキ        つる丸               11  +0.779*  +0.811  -0.032    72.7%  88.1%
  マダコ        林遊船               13  +0.711*  +0.389  +0.322    69.2%  65.8%
  タチウオ       渡辺釣船店             36  +0.711*  +0.562  +0.149    77.8%  71.3%
  クロダイ       山本釣船店             66  +0.703*  +0.768  -0.065    81.8%  84.1%
  イナダ        平安丸               17  +0.678*  +0.686  -0.008    70.6%  77.6%
  タチウオ       こなや丸              50  +0.657*  +0.531  +0.126    74.0%  76.3%
  アジ         石田丸               62  +0.648*  +0.607  +0.041    80.6%  75.4%
  タイ五目       ちがさき丸             65  +0.614*  -0.393  +1.007    83.1%  38.7%
  クロダイ       ふじや釣舟店            66  +0.606*  +0.619  -0.013    74.2%  77.7%
  タイ五目       庄治郎丸              66  +0.596*     n/a    n/a    74.2%    n/a
  シロギス       山天丸               10  +0.558   +0.383  +0.175    40.0%  68.8%
  アジ         村松釣具店             46  +0.557*  +0.354  +0.203    80.4%  69.8%
  ヤリイカ       野毛屋釣船店            14  +0.549*     n/a    n/a    64.3%    n/a
  マダイ        梅花丸               66  +0.540*  +0.531  +0.009    68.2%  70.3%
  マダイ        つる丸               41  +0.537*  +0.500  +0.037    70.7%  69.9%
  カサゴ        山下丸               21  +0.537*  +0.540  -0.003    71.4%  71.9%
  マダコ        吉久                23  +0.520*  +0.452  +0.068    65.2%  62.3%
  タチウオ       吉久                61  +0.520*  +0.474  +0.046    68.9%  75.8%
  シロギス       林遊船               14  +0.492   +0.523  -0.031    50.0%  73.3%
  タチウオ       鶴丸                13  +0.474   +0.283  +0.191    69.2%  63.0%
  アジ         さえむ丸              21  +0.448*  +0.268  +0.180    47.6%  52.4%
  アジ         かめだや              66  +0.445*  +0.379  +0.066    69.7%  63.5%
  アジ         林遊船               63  +0.434*  +0.339  +0.095    65.1%  62.0%
  マダイ        幸丸                54  +0.428*  +0.504  -0.076    74.1%  72.1%
  ヤリイカ       山天丸               12  +0.417      n/a    n/a    66.7%    n/a
  タチウオ       釣船 五郎丸            56  +0.407*     n/a    n/a    66.1%    n/a
  タチウオ       かめだや              26  +0.402*  +0.363  +0.039    76.9%  65.8%
  ヒラメ        大貫丸               19  +0.396   +0.614  -0.218    63.2%  73.2%
  ヤリイカ       喜平治丸              66  +0.372*  +0.122  +0.250    60.6%  55.8%
  タチウオ       第八幸松丸             30  +0.361*  +0.325  +0.036    63.3%  67.5%
  ヤリイカ       第八鶴丸              31  +0.356*  +0.049  +0.307    54.8%  53.8%
  イナダ        龍正丸               33  +0.351*     n/a    n/a    57.6%    n/a
  カワハギ       釣船 五郎丸            22  +0.345      n/a    n/a    63.6%    n/a
  マダコ        第三幸栄丸             23  +0.344   +0.466  -0.122    69.6%  61.8%
  マダコ        幸栄丸               23  +0.344   +0.467  -0.123    69.6%  61.8%
  ヒラメ        第三幸栄丸             39  +0.341*  +0.214  +0.127    56.4%  53.1%
  ヒラメ        幸栄丸               39  +0.338*  +0.212  +0.126    53.8%  53.1%
  マダイ        山天丸               65  +0.337*     n/a    n/a    56.9%    n/a
  イサキ        佐衛美丸              29  +0.336   +0.409  -0.073    65.5%  60.0%
  アジ         吉久                 8  +0.336      n/a    n/a    62.5%    n/a
  フグ         敷嶋丸               38  +0.330*  +0.315  +0.015    52.6%  57.9%
  マダコ        長崎屋               32  +0.326   +0.435  -0.109    68.8%  69.1%
  フグ         吉久                62  +0.325*  +0.484  -0.159    58.1%  68.4%
  フグ         野毛屋釣船店            48  +0.325*  +0.454  -0.129    62.5%  65.7%
  ヒラメ        家田丸               48  +0.320*     n/a    n/a    60.4%    n/a
  アジ         鶴丸                20  +0.297   +0.364  -0.067    65.0%  60.5%
  アジ         船宿 まる八            64  +0.289*     n/a    n/a    59.4%    n/a
  ヒラメ        仁徳丸                9  +0.288   +0.298  -0.010    77.8%  51.4%
  アジ         長崎屋               45  +0.286   +0.438  -0.152    55.6%  65.3%
  シロギス       かめだや              63  +0.286*  +0.237  +0.049    60.3%  60.1%
  ヤリイカ       たいぞう丸             32  +0.284      n/a    n/a    50.0%    n/a
  アジ         あまさけや丸            33  +0.283   +0.115  +0.168    63.6%  53.6%
  マダイ        弘漁丸               32  +0.279   +0.318  -0.039    65.6%  62.2%
  マダイ        たいぞう丸             51  +0.272*     n/a    n/a    58.8%    n/a
  アジ         野毛屋釣船店            42  +0.262   +0.385  -0.123    54.8%  64.0%
  イサキ        村井丸               38  +0.246   +0.364  -0.118    60.5%  67.6%
  タチウオ       庄治郎丸              20  +0.245   +0.347  -0.102    50.0%  60.9%
  マダイ        新幸丸               55  +0.240   +0.469  -0.229    56.4%  68.3%
  ヤリイカ       第三幸栄丸             26  +0.233   +0.466  -0.233    61.5%  66.1%
  ヤリイカ       幸栄丸               26  +0.231   +0.465  -0.234    61.5%  66.1%
  アジ         つる丸               16  +0.226      n/a    n/a    81.2%    n/a
  シーバス       林遊船               46  +0.226   +0.340  -0.114    52.2%  59.6%
  フグ         ちがさき丸              8  +0.203   +0.452  -0.249    50.0%  70.7%
  カワハギ       山下丸               66  +0.186      n/a    n/a    53.0%    n/a
  ヒラメ        幸丸                51  +0.184   +0.301  -0.117    62.7%  65.6%
  マゴチ        林遊船               13  +0.175   +0.342  -0.167    61.5%  58.3%
  マダイ        鶴丸                44  +0.166   +0.219  -0.053    45.5%  58.3%
  ヒラメ        弘漁丸               12  +0.159   +0.509  -0.350    33.3%  69.7%
  マダイ        海桜丸               24  +0.151   +0.580  -0.429    45.8%  68.1%
  マダイ        大貫丸               60  +0.144   +0.349  -0.205    63.3%  69.6%
  マダイ        第八幸松丸             23  +0.143   +0.221  -0.078    56.5%  56.0%
  アジ         渡辺釣船店             37  +0.127   +0.335  -0.208    54.1%  64.0%
  フグ         第三幸栄丸             34  +0.124      n/a    n/a    44.1%    n/a
  フグ         幸栄丸               34  +0.123      n/a    n/a    44.1%    n/a
  キハダマグロ     たいぞう丸             15  +0.113   +0.092  +0.021    60.0%  55.8%
  ヤリイカ       庄治郎丸              31  +0.111      n/a    n/a    58.1%    n/a
  シロギス       村松釣具店             52  +0.101   +0.116  -0.015    55.8%  50.4%
  ヤリイカ       秀丸                61  +0.087      n/a    n/a    63.9%    n/a
  ワラサ        あまさけや丸            11  +0.084      n/a    n/a    45.5%    n/a
  カワハギ       山天丸               52  +0.069      n/a    n/a    55.8%    n/a
  アジ         ちがさき丸             38  +0.065      n/a    n/a    47.4%    n/a
  アカムツ       第八鶴丸              31  +0.056      n/a    n/a    41.9%    n/a
  ヒラメ        勘栄丸               13  +0.054   -0.024  +0.078    46.2%  57.4%
  ヒラメ        岩崎レンタルボート(岩崎つり具店)    27  +0.052      n/a    n/a    40.7%    n/a
  タチウオ       村松釣具店             17  +0.045   +0.420  -0.375    47.1%  70.0%
  カワハギ       光進丸               35  +0.045   +0.188  -0.143    54.3%  62.7%
  ヤリイカ       共栄丸               16  +0.043      n/a    n/a    56.2%    n/a
  クロダイ       村松釣具店             59  +0.042      n/a    n/a    55.9%    n/a
  キハダマグロ     増福丸                6  +0.026      n/a    n/a    33.3%    n/a
  メダイ        平安丸               58  +0.026      n/a    n/a    58.6%    n/a
  アジ         なごみ丸              30  +0.020      n/a    n/a    53.3%    n/a
  アジ         平安丸               34  +0.003   +0.282  -0.279    50.0%  59.4%
  ヒラメ        大盛丸               49  -0.004      n/a    n/a    55.1%    n/a
  マダイ        あまさけや丸            58  -0.005   +0.164  -0.169    60.3%  59.1%
  ヤリイカ       さえむ丸              33  -0.005      n/a    n/a    42.4%    n/a
  マダイ        幸栄丸               60  -0.006      n/a    n/a    51.7%    n/a
  マダイ        増福丸               19  -0.008      n/a    n/a    63.2%    n/a
  マダイ        宮田丸               33  -0.008   +0.106  -0.114    54.5%  56.4%
  サワラ        こなや丸              17  -0.009      n/a    n/a    64.7%    n/a
