zone,bucket,day_offset,n,anomaly_p25,anomaly_p50,anomaly_p75
all,no,1,25965,0.6667,1.0,1.4167
all,no,2,25847,0.6667,1.0,1.4167
all,no,3,25876,0.6667,1.0,1.4167
all,no,4,25721,0.6667,1.0,1.4231
all,no,5,25900,0.6667,1.0,1.4231
all,no,6,25776,0.6667,1.0,1.4184
all,no,7,25811,0.6667,1.0,1.4262
all,lo,1,2460,0.6667,1.0,1.4821
all,lo,2,2541,0.6667,1.0,1.46
all,lo,3,2520,0.6667,1.0,1.454
all,lo,4,2686,0.6667,1.0,1.4
all,lo,5,2532,0.6763,1.0,1.4
all,lo,6,2677,0.6667,1.0,1.4286
all,lo,7,2583,0.6429,1.0,1.3913
all,mid,1,200,0.618,0.9226,1.3373
all,mid,2,238,0.6008,0.9605,1.3645
all,mid,3,234,0.5819,1.0,1.5
all,mid,4,226,0.6047,1.0,1.4481
all,mid,5,206,0.6714,1.0,1.4256
all,mid,6,188,0.7133,1.0258,1.5
all,mid,7,247,0.6485,1.0,1.3551
all,hi,1,6,0.9062,1.0305,1.6527
all,hi,2,5,1.0,1.133,2.12
all,hi,3,3,0.4231,0.7033,1.2053
all,hi,4,6,1.0467,1.2601,1.4089
all,hi,5,5,1.0355,1.5,1.5165
all,hi,6,2,0.2981,0.3526,0.4071
all,hi,7,7,0.4432,0.65,0.828
ibaraki,no,1,2288,0.6667,1.0,1.4545
ibaraki,no,2,2265,0.6667,1.0,1.4648
ibaraki,no,3,2259,0.6667,1.0,1.4545
ibaraki,no,4,2236,0.6667,1.0,1.4545
ibaraki,no,5,2268,0.6667,1.0,1.4545
ibaraki,no,6,2239,0.6667,1.0,1.4545
ibaraki,no,7,2259,0.6667,1.0,1.4583
ibaraki,lo,1,160,0.6667,1.0,1.5824
ibaraki,lo,2,185,0.6667,1.0,1.4095
ibaraki,lo,3,194,0.6923,1.0,1.5
ibaraki,lo,4,212,0.6871,1.0,1.4697
ibaraki,lo,5,185,0.7273,1.0,1.5
ibaraki,lo,6,216,0.6923,1.0,1.5
ibaraki,lo,7,192,0.7425,1.0,1.5
ibaraki,mid,1,11,0.5167,1.2056,1.4619
ibaraki,mid,2,9,0.772,0.875,1.3846
ibaraki,mid,3,9,0.6,0.8,1.1515
ibaraki,mid,4,14,0.8359,1.2083,2.3966
ibaraki,mid,5,10,0.662,0.8788,1.1044
ibaraki,mid,6,10,0.7692,1.1818,1.4921
ibaraki,mid,7,13,0.8333,1.1329,1.2
ibaraki,hi,1,3,0.9375,1.0,1.75
ibaraki,hi,2,3,0.8791,1.0,1.56
ibaraki,hi,3,1,0.7033,0.7033,0.7033
ibaraki,hi,4,3,1.2601,1.3333,2.5
ibaraki,hi,5,3,1.5082,1.5165,2.0916
ibaraki,hi,6,1,0.4615,0.4615,0.4615
ibaraki,hi,7,3,0.5464,0.75,0.9932
inner_boso,no,1,1847,0.6757,1.0,1.4124
inner_boso,no,2,1864,0.6861,1.0,1.411
inner_boso,no,3,1857,0.6885,1.0,1.4299
inner_boso,no,4,1836,0.6777,1.0,1.438
inner_boso,no,5,1865,0.6744,1.0,1.4369
inner_boso,no,6,1865,0.6863,1.0,1.4138
inner_boso,no,7,1868,0.6867,1.0,1.418
inner_boso,lo,1,185,0.744,1.0351,1.4957
inner_boso,lo,2,168,0.6887,1.0063,1.4596
inner_boso,lo,3,177,0.6791,1.0,1.3333
inner_boso,lo,4,202,0.7256,1.0,1.2824
inner_boso,lo,5,174,0.716,1.0,1.2959
inner_boso,lo,6,173,0.6667,1.0,1.4378
inner_boso,lo,7,170,0.6667,1.0,1.432
inner_boso,mid,1,15,0.8206,1.0,1.3191
inner_boso,mid,2,15,0.6189,0.8818,1.1812
inner_boso,mid,3,13,0.6182,0.958,1.3175
inner_boso,mid,4,10,0.6884,0.8619,1.362
inner_boso,mid,5,10,1.0102,1.3112,1.7178
inner_boso,mid,6,11,0.7969,0.9167,1.5665
inner_boso,mid,7,12,0.668,0.8951,1.0888
inner_boso,hi,1,0,,,
inner_boso,hi,2,0,,,
inner_boso,hi,3,0,,,
inner_boso,hi,4,0,,,
inner_boso,hi,5,0,,,
inner_boso,hi,6,0,,,
inner_boso,hi,7,0,,,
izu,no,1,2211,0.4,1.0,2.0
izu,no,2,2163,0.3859,1.0,1.9672
izu,no,3,2179,0.39,1.0,1.9401
izu,no,4,2149,0.4,1.0,1.9789
izu,no,5,2185,0.375,1.0,1.9512
izu,no,6,2182,0.4,1.0,2.0
izu,no,7,2176,0.4,1.0,2.0
izu,lo,1,262,0.1762,1.0,1.6752
izu,lo,2,311,0.3964,1.0,1.9261
izu,lo,3,288,0.3851,1.0304,2.2571
izu,lo,4,319,0.375,1.0,2.1875
izu,lo,5,288,0.4395,1.0082,2.0
izu,lo,6,294,0.3333,1.0,1.9495
izu,lo,7,288,0.268,1.0,1.9583
izu,mid,1,31,0.4321,0.8889,1.4956
izu,mid,2,29,0.5455,1.6,3.1667
izu,mid,3,37,0.4138,1.5,2.3214
izu,mid,4,39,0.0584,0.7094,1.3273
izu,mid,5,34,0.2381,1.1513,2.392
izu,mid,6,31,0.2911,1.0,2.7294
izu,mid,7,42,0.733,1.2089,1.9375
izu,hi,1,0,,,
izu,hi,2,1,2.3571,2.3571,2.3571
