tsuri_mono,water_color_bucket,ratio_p25,ratio_p50,ratio_p75,n_months
SLJ,turbid_vs_clear,,,,0
アオリイカ,turbid_vs_clear,1.3999,1.6667,1.7823,3
アカアマダイ,turbid_vs_clear,,,,0
アカイカ,turbid_vs_clear,,,,0
アカムツ,turbid_vs_clear,0.7841,0.7841,0.7841,1
アカメフグ,turbid_vs_clear,,,,0
アジ,turbid_vs_clear,0.8229,1.061,1.3591,22
アナゴ,turbid_vs_clear,,,,0
アブラボウズ,turbid_vs_clear,,,,0
アマダイ,turbid_vs_clear,0.7156,0.8733,1.113,10
アマラバ,turbid_vs_clear,,,,0
アラ,turbid_vs_clear,,,,0
イサキ,turbid_vs_clear,1.2355,1.4399,1.6444,2
イシダイ,turbid_vs_clear,,,,0
イシモチ,turbid_vs_clear,,,,0
イナダ,turbid_vs_clear,,,,0
オニカサゴ,turbid_vs_clear,,,,0
カイワリ,turbid_vs_clear,,,,0
カサゴ,turbid_vs_clear,0.6612,0.6612,0.6612,1
カツオ,turbid_vs_clear,,,,0
カマス,turbid_vs_clear,1.0231,1.0231,1.0231,1
カレイ,turbid_vs_clear,,,,0
カワハギ,turbid_vs_clear,0.7865,0.9541,1.1974,10
カンパチ,turbid_vs_clear,1.8983,1.8983,1.8983,1
キハダマグロ,turbid_vs_clear,0.2741,0.5482,0.8224,2
キメジ,turbid_vs_clear,,,,0
キントキ,turbid_vs_clear,,,,0
キンメダイ,turbid_vs_clear,,,,0
クロダイ,turbid_vs_clear,,,,0
クロムツ,turbid_vs_clear,,,,0
サワラ,turbid_vs_clear,,,,0
シイラ,turbid_vs_clear,,,,0
シマアジ,turbid_vs_clear,,,,0
ショウサイフグ,turbid_vs_clear,,,,0
シロアマダイ,turbid_vs_clear,,,,0
シロギス,turbid_vs_clear,0.9775,1.0349,1.3913,7
シーバス,turbid_vs_clear,,,,0
スジイカ,turbid_vs_clear,,,,0
スミイカ,turbid_vs_clear,0.7639,0.7639,0.7639,1
スルメイカ,turbid_vs_clear,,,,0
スロージギング,turbid_vs_clear,,,,0
タイ五目,turbid_vs_clear,,,,0
タチウオ,turbid_vs_clear,1.1771,1.2263,1.2755,2
トラフグ,turbid_vs_clear,,,,0
ハタ,turbid_vs_clear,,,,0
ハナダイ,turbid_vs_clear,,,,0
ヒラマサ,turbid_vs_clear,,,,0
ヒラメ,turbid_vs_clear,0.9015,1.0691,1.3589,10
ビシアジ,turbid_vs_clear,,,,0
フグ,turbid_vs_clear,,,,0
ブリ,turbid_vs_clear,,,,0
ホウボウ,turbid_vs_clear,,,,0
マゴチ,turbid_vs_clear,,,,0
マダイ,turbid_vs_clear,0.7049,1.3005,3.0435,13
マダコ,turbid_vs_clear,0.5666,0.6689,0.8333,3
マハタ,turbid_vs_clear,,,,0
マルイカ,turbid_vs_clear,1.0943,1.2415,1.5257,10
ムギイカ,turbid_vs_clear,1.63,1.63,1.63,1
メダイ,turbid_vs_clear,,,,0
メヌケ,turbid_vs_clear,,,,0
メバル,turbid_vs_clear,,,,0
モロコ,turbid_vs_clear,,,,0
モンゴウイカ,turbid_vs_clear,,,,0
ヤリイカ,turbid_vs_clear,0.6531,0.6531,0.6531,1
ワラサ,turbid_vs_clear,1.4788,1.5291,1.5794,2
沖カサゴ,turbid_vs_clear,,,,0
沖メバル,turbid_vs_clear,,,,0
