zone,event_type,bucket,n_events,peak_day,peak_turbid_rate,baseline_turbid_rate,recovery_thr,recovery_offset_p50,recovery_offset_both
ibaraki,rain,lo,449,1,0.0,0.0,0.2,1,1
inner_boso,rain,lo,508,1,0.0,0.0,0.2,1,1
izu,rain,lo,1127,1,0.0,0.0,0.2,1,3
outer_boso,rain,lo,993,1,0.0,0.0,0.2,1,10
sagami_bay,rain,lo,1273,1,0.0,0.0,0.2,1,1
tokyo_bay,rain,lo,1272,1,0.0,0.0,0.2,1,1
ibaraki,rain,mid,24,N/A,N/A,0.0,0.2,>10,>10
inner_boso,rain,mid,33,2,0.0,0.0,0.2,2,8
izu,rain,mid,130,3,1.0,0.0,0.2,4,4
outer_boso,rain,mid,62,N/A,N/A,0.0,0.2,>10,>10
sagami_bay,rain,mid,116,1,0.0,0.0,0.2,1,3
tokyo_bay,rain,mid,82,1,0.0,0.0,0.2,1,>10
ibaraki,rain,hi,6,N/A,N/A,0.0,0.2,>10,>10
izu,rain,hi,2,N/A,N/A,0.0,0.2,>10,>10
tokyo_bay,rain,hi,3,N/A,N/A,0.0,0.2,>10,>10
ibaraki,turbid_actual,turbid,71,1,0.0,0.0,0.2,1,2
inner_boso,turbid_actual,turbid,84,1,1.0,0.0,0.2,3,>10
izu,turbid_actual,turbid,98,1,1.0,0.0,0.2,2,3
outer_boso,turbid_actual,turbid,233,2,0.4583,0.0,0.2,3,>10
sagami_bay,turbid_actual,turbid,244,1,1.0,0.0,0.2,2,>10
tokyo_bay,turbid_actual,turbid,318,1,0.25,0.0,0.2,2,>10
