zone,event_type,bucket,day_offset,turbid_rate_p25,turbid_rate_p50,turbid_rate_p75,n
ibaraki,rain,hi,-2,0.0,0.0,0.0,1
ibaraki,rain,hi,0,0.0,0.0,0.0,1
ibaraki,rain,hi,1,0.2,0.4,0.7,3
ibaraki,rain,hi,2,0.0,0.0,0.0,2
ibaraki,rain,hi,3,1.0,1.0,1.0,1
ibaraki,rain,hi,4,0.25,0.5,0.75,2
ibaraki,rain,hi,5,0.0,0.0,0.0,2
ibaraki,rain,hi,6,0.0,0.0,0.0,1
ibaraki,rain,hi,7,0.0,0.0,0.5,3
ibaraki,rain,hi,8,0.0,0.0,0.0,2
ibaraki,rain,hi,9,0.0,0.0,0.0,1
ibaraki,rain,lo,-3,0.0,0.0,0.0,81
ibaraki,rain,lo,-2,0.0,0.0,0.0,85
ibaraki,rain,lo,-1,0.0,0.0,0.0,61
ibaraki,rain,lo,0,0.0,0.0,0.0,45
ibaraki,rain,lo,1,0.0,0.0,0.0,77
ibaraki,rain,lo,2,0.0,0.0,0.0,86
ibaraki,rain,lo,3,0.0,0.0,0.0,81
ibaraki,rain,lo,4,0.0,0.0,0.0,98
ibaraki,rain,lo,5,0.0,0.0,0.0,88
ibaraki,rain,lo,6,0.0,0.0,0.0,104
ibaraki,rain,lo,7,0.0,0.0,0.0,89
ibaraki,rain,lo,8,0.0,0.0,0.0,103
ibaraki,rain,lo,9,0.0,0.0,0.0,99
ibaraki,rain,lo,10,0.0,0.0,0.0,88
ibaraki,rain,mid,-3,0.0,0.0,0.0,7
ibaraki,rain,mid,-2,0.0,0.0,0.25,4
ibaraki,rain,mid,0,0.0,0.0,0.0,1
ibaraki,rain,mid,1,0.0,0.5,1.0,6
ibaraki,rain,mid,2,0.0,0.5,1.0,4
ibaraki,rain,mid,3,0.75,1.0,1.0,4
ibaraki,rain,mid,4,0.0,0.0,0.0,5
ibaraki,rain,mid,5,0.0,0.0,0.0,5
ibaraki,rain,mid,6,0.0,0.0,0.0,2
ibaraki,rain,mid,7,0.0,0.0,0.0,5
ibaraki,rain,mid,8,0.0,0.0,1.0,5
ibaraki,rain,mid,9,0.0,0.0,0.0,4
ibaraki,rain,mid,10,0.0,0.0,0.0,2
ibaraki,rain,no,-3,0.0,0.0,0.0,1077
ibaraki,rain,no,-2,0.0,0.0,0.0,1077
ibaraki,rain,no,-1,0.0,0.0,0.0,1106
ibaraki,rain,no,0,0.0,0.0,0.0,1120
ibaraki,rain,no,1,0.0,0.0,0.0,1082
ibaraki,rain,no,2,0.0,0.0,0.0,1076
ibaraki,rain,no,3,0.0,0.0,0.0,1083
ibaraki,rain,no,4,0.0,0.0,0.0,1065
ibaraki,rain,no,5,0.0,0.0,0.0,1078
ibaraki,rain,no,6,0.0,0.0,0.0,1064
ibaraki,rain,no,7,0.0,0.0,0.0,1074
ibaraki,rain,no,8,0.0,0.0,0.0,1065
ibaraki,rain,no,9,0.0,0.0,0.0,1072
ibaraki,rain,no,10,0.0,0.0,0.0,1085
ibaraki,turbid_actual,turbid,-3,0.0,0.0,1.0,21
ibaraki,turbid_actual,turbid,-2,0.0,0.0,0.0,20
ibaraki,turbid_actual,turbid,-1,0.0,0.0,0.0,24
ibaraki,turbid_actual,turbid,0,1.0,1.0,1.0,71
ibaraki,turbid_actual,turbid,1,0.0,0.0,0.625,31
ibaraki,turbid_actual,turbid,2,0.0,0.0,0.0,21
ibaraki,turbid_actual,turbid,3,0.0,0.0,1.0,28
ibaraki,turbid_actual,turbid,4,0.0,0.0,0.0,24
ibaraki,turbid_actual,turbid,5,0.0,0.0,0.0,19
ibaraki,turbid_actual,turbid,6,0.0,0.0,0.25,32
ibaraki,turbid_actual,turbid,7,0.0,0.0,0.0,29
ibaraki,turbid_actual,turbid,8,0.0,0.0,0.0,31
ibaraki,turbid_actual,turbid,9,0.0,0.0,0.25,20
ibaraki,turbid_actual,turbid,10,0.0,0.0,0.0,23
inner_boso,rain,lo,-3,0.0,0.0,0.0,93
inner_boso,rain,lo,-2,0.0,0.0,0.0,80
inner_boso,rain,lo,-1,0.0,0.0,0.0,52
inner_boso,rain,lo,0,0.0,0.0,0.0,46
inner_boso,rain,lo,1,0.0,0.0,0.0,77
inner_boso,rain,lo,2,0.0,0.0,0.0,81
inner_boso,rain,lo,3,0.0,0.0,1.0,67
inner_boso,rain,lo,4,0.0,0.0,1.0,75
inner_boso,rain,lo,5,0.0,0.0,0.0,74
inner_boso,rain,lo,6,0.0,0.0,0.5,88
inner_boso,rain,lo,7,0.0,0.0,1.0,79
inner_boso,rain,lo,8,0.0,0.0,0.5,73
inner_boso,rain,lo,9,0.0,0.0,0.0,82
inner_boso,rain,lo,10,0.0,0.0,0.0,78
inner_boso,rain,mid,-3,0.0,0.0,0.0,9
inner_boso,rain,mid,-2,0.0,0.0,0.0,6
inner_boso,rain,mid,0,1.0,1.0,1.0,3
inner_boso,rain,mid,1,1.0,1.0,1.0,5
inner_boso,rain,mid,2,0.0,0.0,1.0,10
inner_boso,rain,mid,3,0.0,0.0,1.0,11
inner_boso,rain,mid,4,0.0,0.5,1.0,4
inner_boso,rain,mid,5,0.0,1.0,1.0,5
inner_boso,rain,mid,6,0.0,0.0,1.0,8
inner_boso,rain,mid,7,0.0,0.0,1.0,5
inner_boso,rain,mid,8,0.0,0.0,0.0,10
inner_boso,rain,mid,9,0.0,0.5,1.0,6
inner_boso,rain,mid,10,0.0,0.0,1.0,9
inner_boso,rain,no,-3,0.0,0.0,0.0,807
inner_boso,rain,no,-2,0.0,0.0,0.0,826
inner_boso,rain,no,-1,0.0,0.0,0.0,860
inner_boso,rain,no,0,0.0,0.0,0.0,860
inner_boso,rain,no,1,0.0,0.0,0.0,830
inner_boso,rain,no,2,0.0,0.0,0.0,822
inner_boso,rain,no,3,0.0,0.0,0.0,834
inner_boso,rain,no,4,0.0,0.0,0.0,833
inner_boso,rain,no,5,0.0,0.0,0.0,831
inner_boso,rain,no,6,0.0,0.0,0.0,817
inner_boso,rain,no,7,0.0,0.0,0.0,824
inner_boso,rain,no,8,0.0,0.0,0.0,828
inner_boso,rain,no,9,0.0,0.0,0.0,826
inner_boso,rain,no,10,0.0,0.0,0.0,828
inner_boso,turbid_actual,turbid,-3,0.0,0.0,0.0,37
inner_boso,turbid_actual,turbid,-2,0.0,0.0,0.0,29
inner_boso,turbid_actual,turbid,-1,0.0,0.0,0.0,30
inner_boso,turbid_actual,turbid,0,1.0,1.0,1.0,84
inner_boso,turbid_actual,turbid,1,0.0,1.0,1.0,41
inner_boso,turbid_actual,turbid,2,0.0,1.0,1.0,46
inner_boso,turbid_actual,turbid,3,0.0,0.0,1.0,40
inner_boso,turbid_actual,turbid,4,0.0,0.0,1.0,38
inner_boso,turbid_actual,turbid,5,0.0,0.0,1.0,44
inner_boso,turbid_actual,turbid,6,0.0,0.0,1.0,39
inner_boso,turbid_actual,turbid,7,0.0,0.0,1.0,50
inner_boso,turbid_actual,turbid,8,0.0,0.0,1.0,40
inner_boso,turbid_actual,turbid,9,0.0,0.0,1.0,42
inner_boso,turbid_actual,turbid,10,0.0,0.0,1.0,37
izu,rain,lo,-3,0.0,0.0,0.0,79
izu,rain,lo,-2,0.0,0.0,0.0,86
izu,rain,lo,-1,0.0,0.0,0.0,68
izu,rain,lo,0,0.0,0.0,1.0,39
izu,rain,lo,1,0.0,0.0,1.0,64
izu,rain,lo,2,0.0,0.0,1.0,79
izu,rain,lo,3,0.0,0.0,0.0,80
izu,rain,lo,4,0.0,0.0,0.0,102
izu,rain,lo,5,0.0,0.0,0.5,81
izu,rain,lo,6,0.0,0.0,0.1667,75
izu,rain,lo,7,0.0,0.0,0.0,82
