=== イサキ 船宿×週グリッド（数量index、全期間平均=100） ===
船宿              |-- 1月(4週)--|-- 2月(4週)--|-- 3月(4週)--|-- 4月(4週)--|-- 5月(4週)--|-- 6月(4週)--|-- 7月(4週)--|-- 8月(4週)--|-- 9月(4週)--|--10月(4週)--|--11月(4週)--|--12月(4週)--
                W01 W02 W03 W04 W05 W06 W07 W08 W09 W10 W11 W12 W13 W14 W15 W16 W17 W18 W19 W20 W21 W22 W23 W24 W25 W26 W27 W28 W29 W30 W31 W32 W33 W34 W35 W36 W37 W38 W39 W40 W41 W42 W43 W44 W45 W46 W47 W48 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
あまさけや丸          |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   70131* 105|  79[142139*  74|  89  -   66  - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
ちがさき丸           |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   15  72|  62  70 100 102|  80  66  72  46|134* 112  - 150*|134*[284263*  82|  -   -   -   - |  -   72 103  - |  -   15  56  - |  -   -   -   - |  -   -   -   -   - 
つちそう丸           |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [100|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
つる丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   - [163154*|142*142*145* 127| 122 123  96  83|  62  47  28  48|  85  10  -   - |  -   -  116  - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
なごみ丸            |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [176|176* 103155* 101|  -   -   -   - |  -   55  -   - |  -   -   -   20|  -   -   -   - |  -   -   -   - |  -   -   -   - |  10  -   -   -   - 
三喜丸釣船店          |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   99168*  61|  38  24  -   - |[207  -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
三次郎丸            |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [100|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
久里浜 五郎丸         |  62  94  -   27|  89  95 112  73|  94  99 117 124|  91130* 108  42|  65  58  29  - |  -   90 103  91| 121135*139*  47|132* 124  -   - | 121146* 121170*|  -  117  - [205|  73  -   -   - |  -   -   -   - |  -   -   -   40  - 
久里浜黒川本家         |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |[175  -   -   24  - 
佐島海楽園           |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [100|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
佐衛美丸            |  -   -   -   - |  -   -   92  87|  62 111 103  99|  90  78  64  94|  93  85 100 106| 106  96 104 101|  96 115 109  99| 115 112 120 109| 112 105[126  - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
