=== キンメダイ 船宿×週グリッド（数量index、全期間平均=100） ===
船宿              |-- 1月(4週)--|-- 2月(4週)--|-- 3月(4週)--|-- 4月(4週)--|-- 5月(4週)--|-- 6月(4週)--|-- 7月(4週)--|-- 8月(4週)--|-- 9月(4週)--|--10月(4週)--|--11月(4週)--|--12月(4週)--
                W01 W02 W03 W04 W05 W06 W07 W08 W09 W10 W11 W12 W13 W14 W15 W16 W17 W18 W19 W20 W21 W22 W23 W24 W25 W26 W27 W28 W29 W30 W31 W32 W33 W34 W35 W36 W37 W38 W39 W40 W41 W42 W43 W44 W45 W46 W47 W48 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ちがさき丸           |  -   -   62  - |  -   -   -   - |[156  -   -   - |  93  -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -  125  62  - 
信栄丸             |  -   - [123  - |  -   -   -   - |  -   76  -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
勇幸丸             | 112  65  69  62|151*  78  98  76|[256  67  65  71|  49  82 108  78|  -  104  -   73|  -   73  -   65|  -   -   -   - |  -   -   -   - |169* 108  - 177*|  56  34  -  112|  -   - 173*  - |156*  -   -   - |  -   -   -   -   - 
大貫丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -  109  36|  -   73  36 114|[201 127134*  82|  36  73146*146*| 109  73  -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
太郎丸             |  81  56 103143*| 128141*135*158*|  89200*  86166*|  75[236201* 122|  49  90  52  56|  84  18  66  37|132*  -   56  - |  -   66  -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   44|  79  60 101  75  - 
宮田丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   19  - |  68  -  117[176|  -  117  -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
平安丸             | 115138*  81  52|138*149*138*  70|138*  64  48  49|  52  91  21  46|  63  52  74  70| 122  78  91  66|  70  35  38  61|  61140*  70  70|175*  52157*140*|175* 109  17  96| 105  - [210  52|  - 210*149*173*|173*140*175* 119  - 
庄治郎丸            |[212 113139*  85| 127 116 106  74|  42  42  -   - |  42  85  85  - |  -   -  127  - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
弘漁丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [100|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
恵漁丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   - [100  - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
龍正丸             |245*  - 135*  67|138*  93  96  96|  80  73  94  76|  84  -   42  - |  -   -   42  50|   8  -   - 186*|  67  33  -   - |  -   50  -   - | 101  - [295  42|  59  93  -   93|  -   -   42  - |  - 194*160*  - |169* 118 103  64  - 
