fish,ship,n,wind_speed,wind_dir,temp,pressure,weather_code,wave_height,wave_period,wave_dir,swell_height,swell_period,sst,current_spd,current_dir,tide_type_n,tide_range,moon_age,flood1_t,flood1_cm,ebb1_t,ebb1_cm
クロダイ,山本釣船店,3986,-0.095,-0.025,+0.386,-0.138,+0.005,+0.007,+0.154,-0.147,+0.061,+0.106,+0.431,+0.153,+0.091,-0.023,-0.026,-0.005,+0.066,+0.091,-0.028,-0.061
クロダイ,ふじや釣舟店,2172,-0.045,+0.039,+0.196,-0.028,-0.027,-0.009,+0.089,-0.058,+0.000,+0.072,+0.247,+0.141,+0.048,-0.027,-0.045,-0.004,+0.016,+0.024,+0.008,-0.029
タイ五目,庄治郎丸,1746,-0.078,+0.033,+0.220,-0.110,+0.015,+0.078,+0.067,-0.028,+0.086,+0.023,+0.174,+0.094,+0.139,-0.022,-0.014,-0.012,-0.010,-0.018,-0.006,-0.004
ワラサ,海上つり堀まるや,1027,,,,,,,,,,,,,,,,,,,,
タイ五目,ちがさき丸,978,-0.042,+0.110,+0.343,-0.213,-0.021,+0.060,+0.007,+0.011,+0.061,-0.021,+0.227,+0.136,+0.132,+0.056,+0.055,-0.044,-0.162,+0.042,+0.035,-0.077
マダイ,幸丸,978,-0.094,+0.142,-0.415,+0.250,+0.047,-0.095,+0.048,-0.043,-0.075,-0.006,-0.365,-0.057,+0.072,+0.014,+0.008,+0.032,-0.023,-0.245,-0.075,+0.172
ヤリイカ,喜平治丸,853,-0.002,+0.011,+0.095,-0.131,+0.070,-0.068,-0.047,+0.067,+0.006,-0.067,-0.039,-0.149,+0.035,-0.029,+0.026,+0.009,-0.102,-0.008,-0.017,+0.054
ヒラメ,幸丸,760,+0.053,+0.023,-0.056,+0.106,+0.005,-0.178,-0.180,+0.022,-0.187,-0.133,+0.019,-0.014,-0.026,-0.060,-0.022,-0.052,+0.138,+0.066,-0.062,-0.017
ヤリイカ,秀丸,751,-0.007,-0.131,-0.231,+0.114,+0.001,-0.004,-0.011,+0.072,+0.002,-0.048,-0.190,-0.070,-0.030,-0.084,-0.053,-0.038,+0.045,-0.020,-0.116,+0.059
カワハギ,山下丸,746,-0.064,+0.011,-0.076,+0.149,+0.011,-0.060,-0.031,-0.098,-0.079,-0.002,+0.086,-0.128,-0.069,-0.058,-0.080,+0.044,+0.063,-0.176,-0.028,-0.064
マダイ,梅花丸,740,-0.056,+0.173,-0.463,+0.212,-0.085,-0.078,+0.090,-0.131,-0.105,+0.055,-0.372,-0.066,+0.076,-0.051,-0.053,+0.078,-0.046,-0.242,+0.024,+0.182
アジ,釣船 五郎丸,739,-0.040,+0.023,-0.012,+0.061,+0.074,-0.050,-0.015,-0.005,-0.029,+0.016,-0.044,-0.016,+0.028,-0.061,-0.071,+0.053,+0.019,-0.075,+0.039,+0.019
シロギス,長崎屋,732,-0.165,-0.009,-0.039,+0.032,-0.069,-0.176,+0.034,-0.020,-0.101,-0.023,+0.049,-0.145,+0.036,-0.011,+0.008,-0.027,+0.126,-0.072,-0.063,-0.058
タチウオ,吉久,716,-0.091,+0.001,+0.310,-0.113,+0.039,-0.045,+0.062,+0.008,+0.016,-0.014,+0.407,+0.170,+0.106,+0.000,-0.006,+0.019,+0.121,-0.132,-0.047,-0.164
マダイ,新幸丸,712,-0.011,+0.150,+0.095,+0.222,+0.052,-0.048,+0.119,-0.086,-0.031,+0.082,+0.363,-0.070,+0.025,+0.003,+0.007,+0.012,+0.125,+0.203,-0.043,+0.021
アジ,光進丸,677,-0.038,-0.051,+0.074,+0.037,+0.060,-0.075,+0.007,+0.048,-0.065,-0.033,+0.080,-0.084,+0.030,+0.007,-0.001,+0.013,+0.048,+0.002,-0.003,-0.120
マダイ,あまさけや丸,626,+0.139,+0.012,-0.173,+0.007,+0.067,-0.019,-0.148,-0.030,-0.054,-0.063,-0.208,-0.099,-0.032,-0.076,-0.039,-0.029,-0.015,-0.041,-0.047,+0.060
フグ,吉久,622,-0.054,+0.105,+0.420,-0.186,+0.045,-0.035,+0.085,+0.046,+0.011,+0.030,+0.452,+0.115,+0.065,+0.071,+0.044,+0.062,-0.025,-0.019,+0.049,-0.204
アジ,船宿 まる八,596,+0.124,-0.057,-0.266,+0.234,+0.030,-0.022,-0.176,-0.031,-0.074,-0.088,-0.221,+0.096,-0.042,+0.046,+0.108,-0.010,+0.042,+0.148,+0.018,-0.044
タチウオ,釣船 五郎丸,588,-0.029,+0.012,+0.116,-0.036,+0.065,+0.012,+0.096,-0.002,+0.038,+0.039,+0.232,-0.019,-0.016,-0.108,-0.096,+0.024,+0.268,-0.187,-0.131,-0.102
マダコ,長崎屋,577,-0.123,-0.107,+0.362,-0.194,+0.100,+0.036,+0.073,+0.030,+0.024,+0.028,+0.328,+0.048,+0.018,-0.004,+0.027,-0.072,+0.043,-0.006,-0.046,+0.018
マダイ,幸栄丸,568,-0.102,+0.078,-0.010,-0.006,-0.078,+0.040,+0.039,-0.075,+0.043,+0.019,+0.036,-0.060,-0.048,+0.116,+0.108,+0.066,-0.019,+0.102,+0.026,-0.093
マダイ,第三幸栄丸,568,-0.099,+0.076,-0.003,-0.008,-0.076,+0.043,+0.042,-0.076,+0.046,+0.016,+0.040,-0.057,-0.049,+0.113,+0.105,+0.064,-0.018,+0.103,+0.024,-0.099
マダイ,庄治郎丸,544,+0.046,+0.012,-0.010,+0.007,-0.018,+0.027,+0.037,-0.023,+0.025,+0.079,+0.011,+0.124,+0.051,+0.037,+0.059,-0.019,-0.011,+0.028,+0.002,-0.016
マダイ,日正丸,540,-0.018,+0.054,+0.059,-0.004,-0.037,-0.046,+0.047,+0.004,-0.031,+0.043,+0.201,-0.026,-0.032,+0.017,-0.013,-0.014,+0.109,+0.091,-0.071,+0.006
マダイ,ちがさき丸,519,+0.091,-0.006,+0.046,+0.109,+0.049,-0.018,+0.001,-0.134,-0.032,+0.055,+0.086,+0.041,+0.076,-0.021,-0.043,+0.027,+0.040,-0.072,-0.000,-0.067
アジ,勘次郎丸,513,-0.027,-0.075,+0.032,+0.088,+0.058,-0.102,-0.022,+0.026,-0.122,-0.035,+0.100,-0.022,-0.005,+0.049,+0.040,+0.010,+0.006,-0.057,-0.014,-0.103
アジ,かめだや,497,+0.007,-0.058,-0.275,+0.049,+0.047,+0.053,-0.042,+0.029,+0.072,-0.038,-0.240,-0.033,-0.124,+0.052,-0.006,+0.054,-0.005,-0.030,+0.037,+0.059
マダイ,山天丸,493,-0.070,+0.071,+0.188,-0.048,-0.036,-0.079,+0.105,-0.022,-0.000,+0.017,+0.171,+0.024,+0.020,-0.057,-0.014,+0.071,-0.032,-0.072,+0.043,+0.033
サワラ,林遊船,488,+0.010,-0.003,+0.067,+0.068,-0.034,-0.032,-0.070,-0.078,-0.088,-0.077,+0.045,+0.052,+0.034,+0.054,+0.037,-0.026,-0.047,+0.042,+0.068,+0.054
ヒラメ,明広丸,477,+0.129,+0.046,-0.016,-0.076,-0.009,-0.008,-0.081,-0.015,-0.043,-0.059,+0.131,-0.077,+0.131,-0.044,+0.005,-0.024,+0.115,+0.072,-0.043,-0.003
クロダイ,林遊船,475,+0.081,+0.000,-0.006,+0.087,-0.069,+0.037,-0.069,+0.014,+0.015,-0.095,-0.068,+0.019,-0.047,-0.010,-0.042,+0.001,+0.007,+0.014,-0.023,+0.049
マダイ,大貫丸,472,-0.043,+0.032,+0.186,+0.040,+0.006,-0.065,-0.065,+0.049,-0.062,-0.061,+0.310,+0.003,+0.055,-0.021,-0.095,+0.042,+0.120,+0.095,-0.093,+0.042
フグ,野毛屋釣船店,470,-0.153,+0.078,+0.455,-0.147,+0.102,-0.025,+0.208,-0.019,+0.048,+0.111,+0.471,+0.287,-0.008,+0.073,+0.016,+0.110,-0.061,-0.047,+0.033,-0.135
アジ,林遊船,438,-0.002,+0.102,-0.223,+0.195,-0.086,+0.026,-0.126,+0.014,+0.017,-0.096,-0.150,-0.116,-0.040,+0.042,+0.018,-0.056,+0.108,-0.039,+0.032,-0.001
マダイ,たいぞう丸,435,+0.082,+0.024,-0.133,+0.008,-0.027,-0.000,-0.046,+0.031,-0.021,-0.075,-0.124,-0.041,+0.013,-0.030,+0.027,-0.107,+0.039,+0.007,-0.039,+0.072
アジ,渡辺釣船店,425,-0.022,+0.064,-0.181,-0.101,+0.013,+0.098,-0.170,+0.119,+0.093,-0.239,-0.173,-0.043,-0.033,+0.020,+0.018,+0.046,-0.019,-0.007,-0.012,+0.080
ヤリイカ,平安丸,419,+0.008,-0.011,+0.023,-0.027,+0.116,-0.097,-0.007,+0.089,-0.059,-0.076,-0.002,-0.024,-0.013,+0.011,+0.020,+0.028,-0.063,-0.016,+0.038,-0.013
シロギス,かめだや,412,-0.147,-0.014,+0.116,-0.041,-0.058,-0.105,+0.118,+0.048,-0.020,+0.012,+0.180,+0.064,+0.079,+0.018,-0.025,+0.009,+0.145,-0.158,-0.012,-0.131
アジ,こなや丸,409,+0.046,-0.122,-0.199,+0.171,-0.001,+0.063,-0.040,-0.026,+0.049,+0.067,-0.119,-0.113,-0.113,-0.086,-0.009,-0.016,+0.113,-0.075,-0.006,-0.051
ヒラメ,第三幸栄丸,390,-0.021,+0.124,-0.079,+0.029,-0.052,-0.078,-0.096,-0.112,-0.095,-0.094,-0.032,-0.031,+0.017,+0.014,+0.105,+0.001,-0.030,-0.085,-0.144,+0.052
ヒラメ,幸栄丸,388,-0.019,+0.123,-0.078,+0.028,-0.052,-0.076,-0.095,-0.112,-0.093,-0.095,-0.030,-0.031,+0.014,+0.014,+0.105,-0.002,-0.029,-0.083,-0.144,+0.050
タチウオ,こなや丸,379,-0.099,+0.037,+0.411,-0.205,-0.016,-0.005,+0.089,+0.035,+0.069,+0.020,+0.452,+0.026,-0.024,+0.003,+0.052,-0.102,+0.090,+0.076,-0.035,-0.111
マダイ,山下丸,370,-0.061,+0.032,+0.028,-0.065,-0.039,-0.035,-0.017,-0.005,-0.029,-0.006,+0.039,-0.045,-0.053,+0.004,+0.033,-0.022,-0.044,+0.064,+0.111,+0.017
