ship,area,date,fish,cnt_min,cnt_max,cnt_avg,size_min,size_max,kg_min,kg_max,is_boat,point_place,point_depth
山下丸,久比里港,2026/03/24,カワハギ,0,6,3,17,28,,,0,竹岡沖,20～30m
山下丸,久比里港,2026/03/24,マダイ,0,6,3,20,50,,,0,剣崎沖,90～100m
山下丸,久比里港,2026/03/24,アマダイ,0,6,3,20,50,,,0,剣崎沖,90～100m
山下丸,久比里港,2026/03/23,カワハギ,0,7,3,18,28,,,0,久里浜沖～竹岡沖,20～30m
山下丸,久比里港,2026/03/23,マダイ,2,7,4,24,40,,,0,剣崎沖,95m
山下丸,久比里港,2026/03/23,アマダイ,2,7,4,24,40,,,0,剣崎沖,95m
山下丸,久比里港,2026/03/22,カワハギ,0,10,5,17,26,,,0,久里浜沖～竹岡沖,20～30m
山下丸,久比里港,2026/03/22,不明,3,7,5,,,0.3,0.8,0,竹岡沖,40m
山下丸,久比里港,2026/03/22,マダイ,4,5,4,25,50,,,0,剣崎沖,85～95m
山下丸,久比里港,2026/03/22,アマダイ,4,5,4,25,50,,,0,剣崎沖,85～95m
山下丸,久比里港,2026/03/21,カワハギ,1,8,4,16,26,,,0,竹岡沖,20～30m
山下丸,久比里港,2026/03/21,不明,5,5,5,,,0.35,0.7,0,下浦沖,40m
山下丸,久比里港,2026/03/21,マダイ,2,6,4,17,42,,,0,剣崎沖,90m
山下丸,久比里港,2026/03/21,アマダイ,2,6,4,17,42,,,0,剣崎沖,90m
山下丸,久比里港,2026/03/20,カワハギ,0,9,4,5,5,,,0,竹岡沖～久里浜沖,20～30m
山下丸,久比里港,2026/03/20,マダイ,0,7,3,23,38,,,0,剣崎沖,80～90m
山下丸,久比里港,2026/03/20,アマダイ,0,7,3,23,38,,,0,剣崎沖,80～90m
山天丸,久比里港,2026/03/24,マルイカ,16,20,18,15,27,,,0,久里浜沖,50～70m
山天丸,久比里港,2026/03/24,マダイ,1,10,5,25,43,,,0,剣崎沖,70～100m
山天丸,久比里港,2026/03/24,アマダイ,1,10,5,25,43,,,0,剣崎沖,70～100m
山天丸,久比里港,2026/03/22,マルイカ,2,6,4,15,27,,,0,久里浜沖～剣崎沖,40～80m
山天丸,久比里港,2026/03/22,マダイ,2,5,3,25,39,,,0,剣崎沖,70～100m
山天丸,久比里港,2026/03/22,アマダイ,2,5,3,25,39,,,0,剣崎沖,70～100m
山天丸,久比里港,2026/03/21,マルイカ,3,12,7,15,27,,,0,剣崎沖,70～90m
山天丸,久比里港,2026/03/21,マダイ,1,4,2,27,43,,,0,剣崎沖,70～100m
山天丸,久比里港,2026/03/21,アマダイ,1,4,2,27,43,,,0,剣崎沖,70～100m
山天丸,久比里港,2026/03/20,マルイカ,4,37,20,15,30,,,0,剣崎沖,70m
山天丸,久比里港,2026/03/20,マダイ,1,4,2,5,5,,,0,剣崎沖,80～110m
山天丸,久比里港,2026/03/20,アマダイ,1,4,2,5,5,,,0,剣崎沖,80～110m
山天丸,久比里港,2026/03/20,カワハギ,2,5,3,17,26,,,0,剣崎沖,25～40m
山天丸,久比里港,2026/03/17,マルイカ,1,9,5,15,27,,,0,剣崎沖,65～85m
山天丸,久比里港,2026/03/17,マダイ,0,8,4,27,38,,,0,剣崎沖,80～110m
山天丸,久比里港,2026/03/17,アマダイ,0,8,4,27,38,,,0,剣崎沖,80～110m
巳之助丸,久比里港,2026/03/24,カワハギ,0,4,2,17,28,,,0,竹岡沖～下浦沖,15～25m
巳之助丸,久比里港,2026/03/24,アジ,12,40,26,22,36,,,0,久里浜沖,60～80m
巳之助丸,久比里港,2026/03/24,マダイ,3,4,3,27,46,,,0,剣崎沖,80～105m
巳之助丸,久比里港,2026/03/24,アマダイ,3,4,3,27,46,,,0,剣崎沖,80～105m
巳之助丸,久比里港,2026/03/22,カワハギ,0,7,3,17,29,,,0,竹岡沖～下浦沖,15～25m
巳之助丸,久比里港,2026/03/22,アジ,7,47,27,21,40,,,0,久里浜沖～観音崎沖,30～60m
巳之助丸,久比里港,2026/03/21,カワハギ,0,10,5,17,29,,,0,竹岡沖,15～25m
巳之助丸,久比里港,2026/03/21,アジ,25,61,43,23,36,,,0,久里浜沖～観音崎沖,30～60m
巳之助丸,久比里港,2026/03/20,カワハギ,0,7,3,5,5,,,0,竹岡沖,15～25m
巳之助丸,久比里港,2026/03/20,アジ,12,112,62,23,36,,,0,久里浜沖～鴨居沖,30～60m
巳之助丸,久比里港,2026/03/20,マダイ,1,5,3,23,44,,,0,剣崎沖,80～95m
巳之助丸,久比里港,2026/03/20,アマダイ,1,5,3,23,44,,,0,剣崎沖,80～95m
巳之助丸,久比里港,2026/03/19,アジ,49,61,55,23,36,,,0,観音崎沖,40～50m
村井丸,保田港,2026/03/25,不明,0,6,3,39,50,,,0,保田沖,30～50m
村井丸,保田港,2026/03/25,マダイ,1,1,1,,,3.8,3.8,1,,
村井丸,保田港,2026/03/25,マダイ,1,4,2,,,1.3,2.9,0,保田沖,50m
村井丸,保田港,2026/03/25,不明,2,3,2,38,49,,,0,,
村井丸,保田港,2026/03/25,アジ,5,23,14,24,36,,,0,保田沖,90m
村井丸,保田港,2026/03/23,不明,0,6,3,39,50,,,0,保田沖,30～50m
村井丸,保田港,2026/03/23,アジ,0,2,1,35,39,,,0,,
村井丸,保田港,2026/03/23,アジ,9,14,11,23,38,,,0,保田沖,90m
村井丸,保田港,2026/03/22,不明,1,10,5,38,50,,,0,保田沖,30～50m
村井丸,保田港,2026/03/22,アジ,13,38,25,24,38,,,0,保田沖,30～90m
村井丸,保田港,2026/03/22,イサキ,16,36,26,22,31,,,0,保田沖,30～90m
村井丸,保田港,2026/03/22,アジ,3,15,9,23,32,,,0,,
村井丸,保田港,2026/03/21,不明,0,2,1,38,47,,,0,保田沖,30～50m
村井丸,保田港,2026/03/21,アジ,2,11,6,24,39,,,0,保田沖,30～90m
村井丸,保田港,2026/03/16,不明,1,8,4,39,51,,,0,保田沖,30～50m
村井丸,保田港,2026/03/16,イサキ,3,21,12,22,31,,,0,保田沖,30～90m
村井丸,保田港,2026/03/16,アジ,4,23,13,23,32,,,0,,
