ship,area,date,fish,fish_raw,cnt_min,cnt_max,cnt_avg,size_min,size_max,kg_min,kg_max,is_boat,point_place,point_place2,point_depth_min,point_depth_max
春栄丸,大原港,2026/04/01,マハタ,マハタ,0,3,1,,,0.4,3.35,0,太東沖,,30,43
春栄丸,大原港,2026/04/01,ヒラメ,ヒラメ,0,3,1,,,0.7,4.8,0,,,,
平安丸,小田原早川港,2026/04/01,ヤリイカ,ヤリイカ,1,6,3,25,43,,,0,二宮沖,,,
須原屋,東葛西,2026/04/01,アジ,ライトアジ,10,80,45,16,25,,,0,横浜沖,,20,20
あまさけや丸,松輪江奈港,2026/04/01,マダイ,マダイ,0,2,1,,,1.6,2.0,0,,,,
渡辺釣船店,横浜港･新山下,2026/04/01,アジ,午前LTアジ,56,77,66,17,28,,,0,横浜沖,,15,20
渡辺釣船店,横浜港･新山下,2026/04/01,タチウオ,タチウオ,0,2,1,75,100,,,0,猿島沖,,,
吉久,浦安,2026/04/01,フグ,トラフグ,0,2,1,39,50,,,0,富浦沖,,80,80
吉久,浦安,2026/04/01,サワラ,サワラ,5,27,16,55,65,,,1,湾内,,35,35
吉野屋,浦安,2026/04/01,フグ,トラフグ,0,3,1,,,1.8,3.2,0,富浦沖,,80,80
吉野屋,浦安,2026/04/01,アジ,LTアジ,34,100,67,15,25,,,0,横浜沖,,15,15
鴨下丸kawana,磯子港,2026/04/01,フグ,トラフグ,,,,,,4.0,4.0,0,,,,
かめだや,羽田,2026/04/01,アジ,LTアジ,25,138,81,16,28,,,0,富岡沖,,14,20
たいぞう丸,葉山あぶずり港,2026/04/01,マルイカ,マルイカ,0,13,6,13,35,,,0,亀城根,城ヶ島沖,50,80
荒川屋,金沢八景,2026/04/01,不明,マコガレイ,1,5,3,5,5,,,1,富岡沖,,13,13
荒川屋,金沢八景,2026/04/01,シロギス,ショートシロギス,4,38,21,15,22,,,0,中ノ瀬,,17,17
こなや丸,長浦,2026/04/01,アジ,ショートアジ,50,153,101,17,38,,,0,木更津沖,,,
福よし丸,鴨居大室港,2026/04/01,タチウオ,タチウオ,,,,,,,,0,久里浜沖,,50,80
福よし丸,鴨居大室港,2026/04/01,アジ,アジ,11,30,20,23,35,,,0,,,,
釣船 五郎丸,鴨居大室港,2026/04/01,アジ,ショートアジ,21,43,32,24,40,,,0,鴨居沖,久里浜沖,40,90
山下丸,久比里港,2026/04/02,カサゴ,カサゴ,,,,,,,,0,,,,
山天丸,久比里港,2026/04/02,マダイ,アマダイ,2,3,2,25,36,,,0,剣崎沖,,80,100
山天丸,久比里港,2026/04/02,アマダイ,アマダイ,2,3,2,25,36,,,0,剣崎沖,,80,100
巳之助丸,久比里港,2026/04/02,カワハギ,カワハギ,1,7,4,17,28,,,0,鴨居沖,竹岡沖,15,30
巳之助丸,久比里港,2026/04/02,アジ,アジ,20,32,26,23,34,,,0,久里浜沖,,70,90
つる丸,大原港,2026/04/02,ヒラメ,ヒラメ,,,,,,,,0,,,,
つる丸,大原港,2026/04/02,マハタ,マハタ,,,,,,1.5,1.5,0,,,,
洋征丸,小坪港,2026/04/01,アジ,アジ,18,38,28,23,41,,,0,秋谷沖,城ヶ島沖,57,100
翔太丸,小網代港,2026/04/02,マルイカ,マルイカ,2,60,31,15,35,,,0,諸磯沖,城ヶ島沖,55,65
庄治郎丸,平塚港,2026/04/02,アジ,アジ,8,22,15,25,36,,,0,,,,
庄治郎丸,平塚港,2026/04/02,クロムツ,クロムツ,,,,32,32,,,0,,,,
庄治郎丸,平塚港,2026/04/02,キンメダイ,キンメ,,,,30,30,,,0,,,,
須原屋,東葛西,2026/04/02,アジ,LTアジ,20,80,50,16,25,,,0,横浜沖,,20,20
あまさけや丸,松輪江奈港,2026/04/02,ワラサ,ワラサ,1,1,1,,,4.6,4.6,0,,,,
あまさけや丸,松輪江奈港,2026/04/02,マダイ,マダイ,1,1,1,,,1.0,1.0,0,,,,
喜平治丸,松輪間口港,2026/04/02,マルイカ,マルイカ,3,63,33,15,30,,,0,城ヶ島沖,,50,70
吉野屋,浦安,2026/04/02,アジ,アジ,15,100,57,15,25,,,0,本牧沖,,25,25
吉野屋,浦安,2026/04/02,フグ,トラフグ,0,1,0,,,1.8,2.6,0,富浦沖,,80,80
ちがさき丸,茅ヶ崎港,2026/04/02,マダイ,マダイ,0,1,0,,,0.7,0.7,0,茅ヶ崎沖,,,
ちがさき丸,茅ヶ崎港,2026/04/02,アジ,アジ,42,56,49,32,42,,,0,二宮沖,,,
光進丸,金谷港,2026/04/01,フグ,トラフグ,0,2,1,,,1.1,2.3,0,金谷沖,富浦沖,,
はら丸,長井港,2026/04/02,マルイカ,マルイカ,5,35,20,14,30,,,0,城ヶ島沖,,45,65
釣船 五郎丸,鴨居大室港,2026/04/02,アジ,ショートアジ,25,44,34,25,40,,,0,鴨居沖,久里浜沖,40,90
