date,ship,area,reason_text
2026/04/21,恒丸,大磯港,定休日です。 Tweet シェア
2026/04/20,恒丸,大磯港,今日も出船なしです。 Tweet シェア
2026/04/19,恒丸,大磯港,今日は出船なしです。 Tweet シェア
2026/04/17,恒丸,大磯港,今日は出船なしです。 Tweet シェア 全 249件 1 2 3 4 5 次 最後 恒丸のニュース ニュース お知らせ 2026年4月の情報 【出船予定】 ・22日(水)…アジ乗合(出確) ・23日(木)…アジ乗合 ・24日(金)…アジ乗合 ・25日(土)…仕立船 ・26日(日)…アジ乗合(出確) ・27日(月)…アジ乗合 ・28日(火)…定休日 ・29日(水)…仕立船 【お休み】 ・4月…28日(火)。 ・5月…12日(火)、19日(火)、26日(火)。 恒丸の店舗情報 施設名 恒丸(ツネマル) 電話番号 0463-61-3073 住所 〒255-0003 神奈川県中郡大磯町大磯1310-
2026/04/21,博栄丸,御前崎港,風予報悪く残念ながらお休みにしました。 Tweet シェア
2026/04/20,博栄丸,御前崎港,風予報悪く残念ながらお休みにしました。 Tweet シェア
2026/04/14,明進丸,日立久慈港,本日もアマダイ狙いで出船を予定してましたが、またもや沖合風で出船中止となってしまいました…。 Tweet シェア
2026/04/16,長崎屋,横浜本牧港,"定休日です。 Tweet シェア 全 1,071件 1 2 3 4 5 次 最後 長崎屋のニュース ニュース お知らせ 2026年4月の情報 【出船予定】 ・22日(水)…ショートシロギス船(確定、空きあり)、ショートLTアジ船(確定、空き多数)。 ・23日(木)…定休日です。 ・24日(金)…ショートシロギス船(あと2名で確定)、ショートLTアジ船(あと2名で確定)。 ・25日(土)…ショートシロギス船(確定、空き多数)、ショートLTアジ船(あと2名で確定)。※人数によりどちらか2隻で出船可能です。 ・26日(日)…ショートシロギス船(確定、空き多数)、ショートLTアジ船(あと2名で確定)。"
2026/04/16,渡辺釣船店,横浜港･新山下,定休日。 Tweet シェア 全 243件 1 2 3 4 5 次 最後 渡辺釣船店のニュース ニュース お知らせ 2026年4月の情報 ・ルアータチウオ船…22日(水)は人数確定しています。引き続き、猿島沖、横須賀沖、第二海堡周辺など狙っていきます。メタル、タングともに80～120gをお持ちください。※18日現在 ・夜カサゴ・メバル船…4月より開幕しました。日程:25日(土)、5月2日(土)、9日(土)、16日(土)、23日(土)、30日(土)。 ・アジ船…良い日もあれば、渋めもあり、日によってですが魚影はかなりありますから魚の活性次第です。一年中横浜沖のアジは絶品です。アジフライ、刺身、な
2026/04/21,たいぞう丸,葉山あぶずり港,予報悪く出船中止。 Tweet シェア
2026/04/21,幸丸,飯岡港,海況が悪い為、全船出船中止しました。 Tweet シェア
2026/04/17,幸丸,飯岡港,予報が悪い為、全船出船中止しました。 Tweet シェア 全 432件 1 2 3 4 5 次 最後 幸丸のニュース ニュース お知らせ 2026年4月の情報 【出船予定】 ・アラ(ルアー同船可!)…24日(金)募集中! ・午後ルアー…28日(火)募集中! 【ご案内】 ・午前船(4時半までに受付)…マダイ、アマダイ ※午前船は集まり次第出船 ・午後船(11時までに受付)…マダイ、ルアー ※平日は4時頃から、土日祝日は3時半頃から午前船の受付を開始します。 ※時間厳守でお願いします。初めてのご利用の方、グループの方は時間に余裕をもってお越しください! 幸丸の店舗情報 施設名 幸丸(サチマル) 電
2026/04/17,福よし丸,鴨居大室港,本日はクルージングになり撃沈で帰ってきました。 Tweet シェア 全 412件 1 2 3 4 5 次 最後 福よし丸のニュース ニュース お知らせ 2026年4月の情報 ・タチウオが復調するまで日中アジに変更致します。※15日現在 ・お休み…24日。 福よし丸の店舗情報 施設名 福よし丸(フクヨシマル) 電話番号 090-8442-6607 住所 〒239-0813 神奈川県横須賀市鴨居2-74-22 リンク 施設のサイトへ サービス 設備 紹介文 鴨居大室港「福よし丸」です。 アジと旬の魚のリレー釣りが特徴の船宿です。 救命胴衣、貸し道具完備！ ビギナーからベテランさんはもちろん 特に女
2026/04/16,つる丸,大原港,釣れるポイントに行けそうに無いのでお休みしました。 Tweet シェア 全 719件 1 2 3 4 5 次 最後 つる丸のニュース ニュース お知らせ 2026年4月の情報 ・23日(木)…午後マダイ釣り1名ずつ入ってます。ポイントも遠いので人数集まらないと出れません。早めのご予約助かります!※21日現在 ・20日(月)～も大ビラメ狙いでお待ちしてます!※19日現在 ・ゴールデンウィークの予約も入って来てます!※19日現在 ・潮が速くなりオマツリもするので、ゴールデンウィークご予約のお客様は仕掛けを多めに用意してください! 【お知らせ】 ・新しいスタッフの紹介です!1月より私の長男が乗ること
2026/04/17,石田丸,大津港,一日、北風が強く出ませんでした。 Tweet シェア 全 513件 1 2 3 4 5 次 最後 石田丸のニュース ニュース お知らせ 2026年4月の情報 【ご案内】 ・土、日、祭日…ボート予約電話は予約日の3日前から朝8時～20時までです。 ・大潮の時等、潮が速い時は養殖イカダが沈む事があります。気をつけて下さい。 ・ボートの中に水が溜まったら汲み出して下さい。水が動くと傾きやすく危険です。 ・駐車場、ドンキホーテ裏海側黒い門の中、又は有Pへお願い致します。店の奥岸壁は全面禁止です。 石田丸の店舗情報 施設名 石田丸(イシダマル) 電話番号 046-842-9985 住所 〒239-080
2026/04/17,つる丸,大原港,お休み。 Tweet シェア 全 719件 1 2 3 4 5 次 最後 つる丸のニュース ニュース お知らせ 2026年4月の情報 ・23日(木)…午後マダイ釣り1名ずつ入ってます。ポイントも遠いので人数集まらないと出れません。早めのご予約助かります!※21日現在 ・20日(月)～も大ビラメ狙いでお待ちしてます!※19日現在 ・ゴールデンウィークの予約も入って来てます!※19日現在 ・潮が速くなりオマツリもするので、ゴールデンウィークご予約のお客様は仕掛けを多めに用意してください! 【お知らせ】 ・新しいスタッフの紹介です!1月より私の長男が乗ることになりました!今日で釣り4回目でまだまだ初
2026/04/23,石田丸,大津港,予報悪く、雨のため出しませんでした。 Tweet シェア
