date,ship,area,reason_text
2026/03/31,つね丸,佐島,定休日。 Tweet シェア
2026/04/01,つる丸,大原港,またウネリが出て、出れるか出れないかって感じになりそうなので出船中止に。 Tweet シェア
2026/03/27,つる丸,大原港,ウネリが残り港から出れず。出船出来ず。午後からも出る船なさそうなので出船中止にしました。 Tweet シェア
2026/03/26,つる丸,大原港,本日お休みでした。 Tweet シェア 全 720件 1 2 3 4 5 次 最後 つる丸のニュース ニュース お知らせ 2026年4月の情報 ・2日(木)から出船しますが現在2名です!3日(金)は午前4名で午後1名です…暇だ…。ちなみにまだ中マダイチャンピオンシップです!!どうしても大マダイが釣れない。※3月31日現在 ・新しいスタッフの紹介です!1月より私の長男が乗ることになりました!今日で釣り4回目でまだまだ初心者です。しばらくご迷惑かける事もあると思いますが、長い目で見ていただけると幸いです。しばらく釣りを覚える為に、釣りをやらせますのでくれぐれも負けないように、一緒に釣りを楽しんでく
2026/03/31,春栄丸,大原港,本日はご予約無く休業。 Tweet シェア
2026/03/31,石田丸,大津港,定休日。 Tweet シェア
2026/04/01,恒丸,大磯港,【波】シケ 今日は波高く、シケでした。 Tweet シェア
2026/03/31,恒丸,大磯港,定休日です。 Tweet シェア
2026/03/30,恒丸,大磯港,今日は出船なしです。 Tweet シェア
2026/03/28,恒丸,大磯港,今日は出船なしでした。 Tweet シェア 全 229件 1 2 3 4 5 次 最後 恒丸のニュース ニュース お知らせ 2026年4月の情報 ・2日(木)、6日(月)…アジ乗合 ・3日(金)、4日(土)、5日(日)…アジ乗合※出船確定 【お休み】 ・7日(火)、14日(火)、21日(火)、28日(火)。 恒丸の店舗情報 施設名 恒丸(ツネマル) 電話番号 0463-61-3073 住所 〒255-0003 神奈川県中郡大磯町大磯1310-6 リンク 施設のサイトへ サービス 設備 紹介文 大型快速船3隻。沖の瀬のキンメにも出船。※ルアー仕立船のみ 営業時間 定休日 毎週火曜日 料金形態 ア
2026/03/31,船宿 まる八,平和島,定休日。 Tweet シェア
2026/03/31,喜平治丸,松輪間口港,予報悪く出船中止とさせて頂きました。 Tweet シェア
2026/03/31,渡辺釣船店,横浜港･新山下,荒天予報のため、全船出船中止させていただきました。 Tweet シェア
2026/03/31,ちがさき丸,茅ヶ崎港,定休日。 Tweet シェア
2026/03/31,たいぞう丸,葉山あぶずり港,予報悪く出船中止しました。 Tweet シェア
2026/04/01,米元釣船店,金沢八景,荒天予報の為、出船見合わせました。 Tweet シェア
2026/03/26,幸丸,飯岡港,本日は強風予報の為、全船出船中止しました。 Tweet シェア
