prefecture,slug,size,webp_file,webp_bytes,png_file,png_bytes
北海道,hokkaido,128,hokkaido_emoji_128.webp,4694,hokkaido_emoji_128.png,10947
北海道,hokkaido,256,hokkaido_emoji_256.webp,12064,hokkaido_emoji_256.png,31241
青森県,aomori,128,aomori_emoji_128.webp,5590,aomori_emoji_128.png,12942
青森県,aomori,256,aomori_emoji_256.webp,14482,aomori_emoji_256.png,36614
岩手県,iwate,128,iwate_emoji_128.webp,4888,iwate_emoji_128.png,11067
岩手県,iwate,256,iwate_emoji_256.webp,12462,iwate_emoji_256.png,31715
宮城県,miyagi,128,miyagi_emoji_128.webp,5430,miyagi_emoji_128.png,12484
宮城県,miyagi,256,miyagi_emoji_256.webp,13896,miyagi_emoji_256.png,35366
秋田県,akita,128,akita_emoji_128.webp,4952,akita_emoji_128.png,11231
秋田県,akita,256,akita_emoji_256.webp,12798,akita_emoji_256.png,31214
山形県,yamagata,128,yamagata_emoji_128.webp,4750,yamagata_emoji_128.png,10430
山形県,yamagata,256,yamagata_emoji_256.webp,11556,yamagata_emoji_256.png,29085
福島県,fukushima,128,fukushima_emoji_128.webp,4370,fukushima_emoji_128.png,9846
福島県,fukushima,256,fukushima_emoji_256.webp,11100,fukushima_emoji_256.png,27572
茨城県,ibaraki,128,ibaraki_emoji_128.webp,5362,ibaraki_emoji_128.png,12157
茨城県,ibaraki,256,ibaraki_emoji_256.webp,13130,ibaraki_emoji_256.png,33495
千葉県,chiba,128,chiba_emoji_128.webp,5528,chiba_emoji_128.png,12288
千葉県,chiba,256,chiba_emoji_256.webp,13360,chiba_emoji_256.png,34062
東京都,tokyo,128,tokyo_emoji_128.webp,3704,tokyo_emoji_128.png,8316
東京都,tokyo,256,tokyo_emoji_256.webp,9106,tokyo_emoji_256.png,22840
神奈川県,kanagawa,128,kanagawa_emoji_128.webp,4896,kanagawa_emoji_128.png,11035
神奈川県,kanagawa,256,kanagawa_emoji_256.webp,11980,kanagawa_emoji_256.png,30246
新潟県,niigata,128,niigata_emoji_128.webp,4564,niigata_emoji_128.png,10459
新潟県,niigata,256,niigata_emoji_256.webp,11522,niigata_emoji_256.png,29176
富山県,toyama,128,toyama_emoji_128.webp,4946,toyama_emoji_128.png,10871
富山県,toyama,256,toyama_emoji_256.webp,11810,toyama_emoji_256.png,29375
石川県,ishikawa,128,ishikawa_emoji_128.webp,4568,ishikawa_emoji_128.png,10654
石川県,ishikawa,256,ishikawa_emoji_256.webp,11612,ishikawa_emoji_256.png,28998
福井県,fukui,128,fukui_emoji_128.webp,4576,fukui_emoji_128.png,10429
福井県,fukui,256,fukui_emoji_256.webp,11682,fukui_emoji_256.png,30016
静岡県,shizuoka,128,shizuoka_emoji_128.webp,5060,shizuoka_emoji_128.png,11416
静岡県,shizuoka,256,shizuoka_emoji_256.webp,13114,shizuoka_emoji_256.png,31619
愛知県,aichi,128,aichi_emoji_128.webp,5202,aichi_emoji_128.png,11985
愛知県,aichi,256,aichi_emoji_256.webp,13402,aichi_emoji_256.png,33970
三重県,mie,128,mie_emoji_128.webp,4908,mie_emoji_128.png,11596
三重県,mie,256,mie_emoji_256.webp,12902,mie_emoji_256.png,33209
京都府,kyoto,128,kyoto_emoji_128.webp,5268,kyoto_emoji_128.png,12405
京都府,kyoto,256,kyoto_emoji_256.webp,13522,kyoto_emoji_256.png,35077
大阪府,osaka,128,osaka_emoji_128.webp,5232,osaka_emoji_128.png,11748
大阪府,osaka,256,osaka_emoji_256.webp,12790,osaka_emoji_256.png,32097
兵庫県,hyogo,128,hyogo_emoji_128.webp,5316,hyogo_emoji_128.png,12136
兵庫県,hyogo,256,hyogo_emoji_256.webp,13668,hyogo_emoji_256.png,34329
和歌山県,wakayama,128,wakayama_emoji_128.webp,6498,wakayama_emoji_128.png,12953
和歌山県,wakayama,256,wakayama_emoji_256.webp,17474,wakayama_emoji_256.png,36111
鳥取県,tottori,128,tottori_emoji_128.webp,5686,tottori_emoji_128.png,8802
鳥取県,tottori,256,tottori_emoji_256.webp,17616,tottori_emoji_256.png,23721
島根県,shimane,128,shimane_emoji_128.webp,5564,shimane_emoji_128.png,9935
島根県,shimane,256,shimane_emoji_256.webp,15730,shimane_emoji_256.png,26935
岡山県,okayama,128,okayama_emoji_128.webp,6562,okayama_emoji_128.png,12330
岡山県,okayama,256,okayama_emoji_256.webp,17954,okayama_emoji_256.png,33671
広島県,hiroshima,128,hiroshima_emoji_128.webp,5886,hiroshima_emoji_128.png,9808
広島県,hiroshima,256,hiroshima_emoji_256.webp,16828,hiroshima_emoji_256.png,27253
山口県,yamaguchi,128,yamaguchi_emoji_128.webp,6380,yamaguchi_emoji_128.png,11341
山口県,yamaguchi,256,yamaguchi_emoji_256.webp,19190,yamaguchi_emoji_256.png,30927
徳島県,tokushima,128,tokushima_emoji_128.webp,5752,tokushima_emoji_128.png,9666
徳島県,tokushima,256,tokushima_emoji_256.webp,16904,tokushima_emoji_256.png,26214
香川県,kagawa,128,kagawa_emoji_128.webp,5406,kagawa_emoji_128.png,8413
香川県,kagawa,256,kagawa_emoji_256.webp,16652,kagawa_emoji_256.png,22919
愛媛県,ehime,128,ehime_emoji_128.webp,5892,ehime_emoji_128.png,10539
愛媛県,ehime,256,ehime_emoji_256.webp,17150,ehime_emoji_256.png,29537
高知県,kochi,128,kochi_emoji_128.webp,6036,kochi_emoji_128.png,10635
高知県,kochi,256,kochi_emoji_256.webp,17368,kochi_emoji_256.png,29245
福岡県,fukuoka,128,fukuoka_emoji_128.webp,6450,fukuoka_emoji_128.png,12196
福岡県,fukuoka,256,fukuoka_emoji_256.webp,18098,fukuoka_emoji_256.png,34249
佐賀県,saga,128,saga_emoji_128.webp,6354,saga_emoji_128.png,11698
佐賀県,saga,256,saga_emoji_256.webp,17406,saga_emoji_256.png,30985
長崎県,nagasaki,128,nagasaki_emoji_128.webp,8432,nagasaki_emoji_128.png,17946
長崎県,nagasaki,256,nagasaki_emoji_256.webp,23634,nagasaki_emoji_256.png,50066
熊本県,kumamoto,128,kumamoto_emoji_128.webp,6542,kumamoto_emoji_128.png,12825
熊本県,kumamoto,256,kumamoto_emoji_256.webp,17550,kumamoto_emoji_256.png,35103
大分県,oita,128,oita_emoji_128.webp,6686,oita_emoji_128.png,12352
大分県,oita,256,oita_emoji_256.webp,19306,oita_emoji_256.png,35661
宮崎県,miyazaki,128,miyazaki_emoji_128.webp,5596,miyazaki_emoji_128.png,10494
宮崎県,miyazaki,256,miyazaki_emoji_256.webp,14400,miyazaki_emoji_256.png,27830
鹿児島県,kagoshima,128,kagoshima_emoji_128.webp,7730,kagoshima_emoji_128.png,15972
鹿児島県,kagoshima,256,kagoshima_emoji_256.webp,21260,kagoshima_emoji_256.png,44276
沖縄県,okinawa,128,okinawa_emoji_128.webp,5952,okinawa_emoji_128.png,12055
沖縄県,okinawa,256,okinawa_emoji_256.webp,16334,okinawa_emoji_256.png,32216
