date,pfid,hinmei,section,santi,meigara,takane,nakane,yasune,qty_total,hanbai
20260512,kihada,きわだ（生鮮）,大物,東京,−,−,1296,−,5156.0,せり・入札
20260512,kihada,きわだ（冷凍）,大物,各地海外込,−,1728,1361,1080,2087.0,せり・入札
20260512,kihada,めじ,,各地,−,1728,1620,1404,1446.0,相対
20260512,madai,まだい,,各地,−,3240,−,432,28314.0,相対
20260512,kinmedai,きんめだい,,各地,−,4968,2160,1296,12990.0,相対
20260512,madai,あまだい,,各地海外込,−,3780,−,1944,1124.0,相対
20260512,buri,ぶり・わらさ,,各地,ブリ,972,702,648,69218.0,相対
20260512,buri,ぶり・わらさ,,各地,ワラサ,648,432,378,,
20260512,inada,いなだ・わかし,,各地,イナダ,756,648,540,604.0,相対
20260512,hirame,ひらめ,,各地海外込,−,2160,−,1080,5370.0,相対
20260512,karei,かれい,,北海道,アカガレイ,540,486,432,16374.0,
20260512,karei,かれい,,北海道,クロガレイ,648,432,270,,
20260512,karei,かれい,,各地,マカレイ,648,594,540,,
20260512,karei,かれい,,各地,マコガレイ,756,−,324,,
20260512,maaji,あじ,,福岡,中,648,540,432,55541.0,相対
20260512,maaji,あじ,,各地,中,1512,−,432,,
20260512,maaji,あじ,,各地,中小,432,378,324,,
20260512,maaji,あじ,,各地,小・豆,378,324,270,,
20260512,saba,さば,,各地,−,648,540,432,18035.0,相対
20260512,katsuo,かつお,,宮崎,−,1620,756,540,32107.0,相対
20260512,katsuo,かつお,,各地,−,3240,−,540,,
20260512,surumeika,するめいか,,各地,−,1901,1431,1080,6847.0,相対
20260512,yariika,やりいか,,各地,−,2376,−,1620,2411.0,相対
20260512,kamasu,かます,,各地,−,2376,−,1188,2578.0,相対
20260512,mebaru,めばる,,各地,−,2160,−,1620,806.0,相対
20260512,seabass,すずき,,各地,−,1728,−,864,6502.0,相対
20260512,shirogisu,きす,,各地,−,8100,−,1080,544.0,相対
20260512,isaki,いさき,,各地,−,3780,−,864,4916.0,相対
20260512,tachiuo,たちうお,,各地海外込,−,3780,−,2052,1522.0,相対
20260515,kihada,きわだ（生鮮）,大物,東京,−,1620,1296,1080,4934.0,せり・入札
20260515,kihada,きわだ（冷凍）,大物,各地海外込,−,1620,1361,1080,2863.0,せり・入札
20260515,kihada,めじ,,各地,−,1620,972,648,2957.0,相対
20260515,madai,まだい,,各地,−,3240,−,432,,相対
20260515,kinmedai,きんめだい,,各地,−,4104,1944,1080,15890.0,相対
20260515,madai,あまだい,,各地海外込,−,4320,−,2160,1205.0,相対
20260515,buri,ぶり・わらさ,,各地,ブリ,972,756,540,36924.0,相対
20260515,buri,ぶり・わらさ,,各地,ワラサ,702,378,324,,
20260515,inada,いなだ・わかし,,各地,イナダ,864,756,648,10109.0,相対
20260515,hirame,ひらめ,,各地海外込,−,1944,−,864,4701.0,相対
20260515,karei,かれい,,北海道,アカガレイ,648,−,540,17121.0,
20260515,karei,かれい,,北海道,クロガレイ,432,324,216,,
20260515,karei,かれい,,各地,マカレイ,648,486,324,,
20260515,karei,かれい,,各地,マコガレイ,756,−,216,,
20260515,maaji,あじ,,長崎,中,648,540,432,46480.0,相対
20260515,maaji,あじ,,各地,中,1080,−,432,,
20260515,maaji,あじ,,各地,中小,540,486,432,,
20260515,maaji,あじ,,各地,小・豆,378,324,270,,
20260515,saba,さば,,各地,−,648,540,432,16059.0,相対
20260515,katsuo,かつお,,愛媛,−,1404,756,540,37829.0,相対
20260515,katsuo,かつお,,各地,−,2160,−,432,,
20260515,surumeika,するめいか,,各地,−,2117,1080,648,9209.0,相対
20260515,yariika,やりいか,,各地,−,2160,−,1404,2028.0,相対
20260515,kamasu,かます,,各地,−,1944,−,864,1988.0,相対
20260515,mebaru,めばる,,各地,−,2160,−,540,1056.0,相対
20260515,seabass,すずき,,各地,−,1512,−,540,7695.0,相対
20260515,shirogisu,きす,,各地,−,8424,−,1080,338.0,相対
20260515,isaki,いさき,,各地,−,3780,−,756,6174.0,相対
20260515,tachiuo,たちうお,,各地海外込,−,3780,−,972,1724.0,相対
20260516,kihada,きわだ（冷凍）,大物,各地海外込,−,1620,1372,1188,4780.0,せり・入札
20260516,kihada,めじ,,各地,−,1512,756,540,3670.0,相対
20260516,madai,まだい,,各地,−,3240,−,432,32752.0,相対
20260516,kinmedai,きんめだい,,各地,−,4644,1836,972,10868.0,相対
20260516,madai,あまだい,,各地海外込,−,3240,−,2160,1232.0,相対
20260516,buri,ぶり・わらさ,,各地,ブリ,864,756,486,61153.0,相対
20260516,buri,ぶり・わらさ,,各地,ワラサ,486,432,324,,
20260516,inada,いなだ・わかし,,各地,イナダ,864,756,648,3952.0,相対
20260516,hirame,ひらめ,,各地海外込,−,2160,−,864,7665.0,相対
20260516,karei,かれい,,北海道,アカガレイ,648,−,216,19865.0,
20260516,karei,かれい,,北海道,クロガレイ,540,−,216,,
20260516,karei,かれい,,各地,マカレイ,594,−,216,,
20260516,karei,かれい,,各地,マコガレイ,540,−,432,,
20260516,maaji,あじ,,長崎,中,540,432,324,51231.0,相対
20260516,maaji,あじ,,各地,中,1080,−,432,,
20260516,maaji,あじ,,各地,小・豆,324,270,216,,
20260516,saba,さば,,各地,−,648,432,324,20277.0,相対
20260516,katsuo,かつお,,愛媛,−,864,648,540,40765.0,相対
