ship,area,date,fish,fish_raw,cnt_min,cnt_max,cnt_avg,size_min,size_max,kg_min,kg_max,is_boat,point_place,point_place2,point_depth_min,point_depth_max
豊丸,日立久慈港,2026/02/21,マダイ,マダイ,,,,,,3.8,3.8,0,,,,
豊丸,鹿島港,2026/02/22,ヤリイカ,ヤリイカ,0,4,2,15,45,,,0,鹿島沖,,100,130
豊丸,鹿島港,2026/02/21,ヤリイカ,ヤリイカ,0,10,5,15,50,,,0,鹿島沖,,90,110
豊丸,鹿島港,2026/02/21,フグ,フグ,1,6,3,22,38,,,0,,,,
光佑丸,外川港,2026/02/22,ヒラメ,ヒラメ,1,5,3,,,0.8,1.8,0,,,18,18
忠彦丸,金沢漁港,2026/02/28,アジ,午前ライトアジ,28,80,54,17,28,,,0,,,,
忠彦丸,金沢漁港,2026/02/28,アジ,午後ライトアジ,30,103,66,17,28,,,0,,,,
忠彦丸,金沢漁港,2026/02/28,タチウオ,ショートタチウオ,1,24,12,65,110,,,0,,,,
忠彦丸,金沢漁港,2026/02/28,不明,五目,3,27,15,25,50,,,0,,,,
忠彦丸,金沢漁港,2026/02/27,アジ,午前ライトアジ,18,80,49,17,28,,,0,,,,
忠彦丸,金沢漁港,2026/02/27,アジ,午前ライトアジ,28,59,43,17,28,,,0,,,,
忠彦丸,金沢漁港,2026/02/24,タチウオ,ショートタチウオ,7,39,23,65,105,,,0,,,,
瀬戸丸,松輪,2026/02/28,マダイ,マダイ,0,9,4,,,0.8,1.8,0,,,,
瀬戸丸,松輪,2026/02/28,マルイカ,マルイカ,0,28,14,14,32,,,0,剣崎沖,城ヶ島沖,,
瀬戸丸,松輪,2026/02/27,マダイ,マダイ,2,9,5,,,0.7,1.4,1,久里浜沖,,,
瀬戸丸,松輪,2026/02/27,マルイカ,マルイカ,0,22,11,15,32,,,0,港前,城ヶ島手前,,
瀬戸丸,松輪,2026/02/21,マルイカ,マルイカ,0,30,15,15,32,,,0,剣崎沖,,75,105
