date,ship,area,reason_text
2026/04/14,明進丸,日立久慈港,本日もアマダイ狙いで出船を予定してましたが、またもや沖合風で出船中止となってしまいました…。 Tweet シェア
2026/03/01,ARCADIA SALTWATER SERVICE,鹿島市新浜,鹿島沖キャスティングやって来ました。結果は釣り上がらずでしたが、鳥山バンバンありナブラも見れたしで楽しめました。一回すぐ近くのナブラでヒットしましたが、ヒットした瞬間一気に走られて切られてしまいました。一瞬だったので船の向きを変える事も出来ず残念な結果になってしまいました。 Tweet シェア 全 85件 1 2 3 4 5 次 最後 ARCADIA SALTWATER SERVICEのニュース ニュース お知らせ 2026年の情報 ・船の修理しました。トイレの使い方ですが、今からは予備水必要なく最初から水が溜まってますので、そのまま用を足して黒いボタンを押して流してください。管の中に汚物が残
2026/04/14,幸丸,飯岡港,定休日です。 Tweet シェア
2026/04/10,幸丸,飯岡港,本日は強風予報の為、全船中止しました。 Tweet シェア
2026/04/05,春栄丸,大原港,本日はご予約無くお休みに。 Tweet シェア 全 716件 1 2 3 4 5 次 最後 春栄丸のニュース ニュース お知らせ 2026年4月の情報 【出船予定】 ・15日(水)…午前ヒラメ(マハタ)釣り(3名様)出船確定! ・16日(木)…午前ヒラメ(マハタ)釣り(0名様)出船予定! ・17日(金)…午前ヒラメ(マハタ)釣り(2名様)出船確定! ・18日(土)…午前ヒラメ(マハタ)釣り(2名様)出船確定! ・19日(日)…午前ヒラメ(マハタ)釣り(3名様)出船確定! ・20日(月)…今月最後の定休日です。 ・21日(火)～24日(金)…御予約お待ちしてます。 上記、大募集中!その他の日は出
2026/03/31,船宿 まる八,平和島,定休日。 Tweet シェア
2026/04/10,長崎屋,横浜本牧港,"強風予報のため出船中止しました。 Tweet シェア 全 1,071件 1 2 3 4 5 次 最後 長崎屋のニュース ニュース お知らせ 2026年4月の情報 【出船予定】 ・15日(水)…ショートシロギス船(確定、空き多数)。シーバス船は人数揃わずお休みします。ナギ予報です。 ・16日(木)…定休日です。 ・17日(金)…ショートシロギス船(あと1名で確定)、ショートLTアジ船(あと2名で確定)、シーバス船(あと1名で確定)。 ・18日(土)…ショートシロギス船(確定、空きあり)、ショートLTアジ船(確定、空きあり)、シーバス船(確定、空き多数)。 ・19日(日)…ショートシロギス船(確定"
2026/04/11,福よし丸,鴨居大室港,予報悪く出船中止致しました。 Tweet シェア
2026/04/10,福よし丸,鴨居大室港,お休み。 Tweet シェア 全 406件 1 2 3 4 5 次 最後 福よし丸のニュース ニュース お知らせ 2026年の情報 ・4月の休み…24日。 福よし丸の店舗情報 施設名 福よし丸(フクヨシマル) 電話番号 090-8442-6607 住所 〒239-0813 神奈川県横須賀市鴨居2-74-22 リンク 施設のサイトへ サービス 設備 紹介文 鴨居大室港「福よし丸」です。 アジと旬の魚のリレー釣りが特徴の船宿です。 救命胴衣、貸し道具完備！ ビギナーからベテランさんはもちろん 特に女性やお子様などご家族連れ大歓迎！！ 判らないことがあれば何でも聞いて下さい。 親切丁寧にお教えて致し
2026/04/07,たいぞう丸,葉山あぶずり港,予報悪く出船中止。 Tweet シェア 全 976件 1 2 3 4 5 次 最後 たいぞう丸のニュース ニュース お知らせ 2026年4月の情報 【マルイカ船】 ・15日(水)……お休みします。 ・16日(木)……定休日(第1、3、5木曜日) ・17日(金)……予約受付中(空席多数) ・18日(土)……予約受付中(空席多数)※出船確定 ・19日(日)……予約受付中(空席多数)※出船確定 ※7時出船です。集合時間は6時。土日祝日は駐車場が混みますので5時30分までにお入り下さい。ご予約お待ちしております。 ※オモリは50号、60号のご用意お願いします。 【アマダイ五目船】 ・11日(土)をもち
2026/04/10,ちがさき丸,茅ヶ崎港,予報悪く出船を中止に致しました。 Tweet シェア
2026/04/09,ちがさき丸,茅ヶ崎港,予報悪く出船を中止に致しました。 Tweet シェア 全 779件 1 2 3 4 5 次 最後 ちがさき丸のニュース ニュース お知らせ 2026年4月の情報 ・14日は定休日の為、お休みです。 ・4月からはLT五目が出船開始になりますので、皆様のご予約是非お待ちしております!! ちがさき丸の店舗情報 施設名 ちがさき丸(チガサキマル) 電話番号 0467-86-1157 住所 〒253-0061 神奈川県茅ヶ崎市南湖6-18-6 リンク 施設のサイトへ サービス 設備 紹介文 相模湾の四季の釣りは何でもおまかせください！釣り物はご相談に応じますので、まずはお気軽にお問い合わせください。 営
2026/04/14,恒丸,大磯港,定休日。 Tweet シェア
2026/04/13,恒丸,大磯港,今日も出船なしです。 Tweet シェア
2026/04/12,恒丸,大磯港,今日も出船なしです。 Tweet シェア
2026/04/11,恒丸,大磯港,予報が良くないので出船中止にさせていただきました。 Tweet シェア
2026/04/10,恒丸,大磯港,予報が良くないので出船中止にさせていただきました。 Tweet シェア 全 242件 1 2 3 4 5 次 最後 恒丸のニュース ニュース お知らせ 2026年4月の情報 ・15日(水)…アジ乗合 ・16日(木)…アジ乗合(出確) ・17日(金)…アジ乗合 ・18日(土)…アジ乗合(出確) ・19日(日)…アジ乗合 【お休み】 ・21日(火)、28日(火)。 恒丸の店舗情報 施設名 恒丸(ツネマル) 電話番号 0463-61-3073 住所 〒255-0003 神奈川県中郡大磯町大磯1310-6 リンク 施設のサイトへ サービス 設備 紹介文 大型快速船3隻。沖の瀬のキンメにも出船。※ルアー
2026/04/15,恒丸,大磯港,今日は出船なしです。 Tweet シェア
