fish,ship,n,wind_speed,wind_dir,temp,pressure,weather_code,wave_height,wave_period,wave_dir,swell_height,swell_period,sst,current_spd,current_dir,tide_type_n,tide_range,moon_age,flood1_t,flood1_cm,ebb1_t,ebb1_cm
クロダイ,山本釣船店,3986,-0.095,-0.025,+0.386,-0.138,+0.005,+0.007,+0.154,-0.147,+0.061,+0.106,+0.431,+0.153,+0.091,-0.023,-0.026,-0.005,+0.066,+0.091,-0.028,-0.061
クロダイ,ふじや釣舟店,2172,-0.045,+0.039,+0.196,-0.028,-0.027,-0.009,+0.089,-0.058,+0.000,+0.072,+0.247,+0.141,+0.048,-0.027,-0.045,-0.004,+0.016,+0.024,+0.008,-0.029
マダイ,幸丸,970,-0.096,+0.139,-0.415,+0.249,+0.046,-0.097,+0.051,-0.043,-0.075,-0.004,-0.364,-0.055,+0.073,+0.015,+0.009,+0.031,-0.021,-0.245,-0.074,+0.171
アジ,庄治郎丸,798,-0.052,-0.005,+0.059,-0.005,+0.029,+0.015,+0.085,-0.025,+0.024,+0.061,+0.032,-0.019,+0.047,-0.045,-0.034,+0.012,-0.003,+0.007,-0.036,+0.053
カワハギ,山下丸,746,-0.064,+0.011,-0.076,+0.149,+0.011,-0.060,-0.031,-0.098,-0.079,-0.002,+0.086,-0.128,-0.069,-0.058,-0.080,+0.044,+0.063,-0.176,-0.028,-0.064
マダイ,梅花丸,740,-0.056,+0.173,-0.463,+0.212,-0.085,-0.078,+0.090,-0.131,-0.105,+0.055,-0.372,-0.066,+0.076,-0.051,-0.053,+0.078,-0.046,-0.242,+0.024,+0.182
アジ,釣船 五郎丸,739,-0.040,+0.023,-0.012,+0.061,+0.074,-0.050,-0.015,-0.005,-0.029,+0.016,-0.044,-0.016,+0.028,-0.061,-0.071,+0.053,+0.019,-0.075,+0.039,+0.019
マルイカ,秀丸,739,-0.001,-0.132,-0.233,+0.107,+0.004,-0.002,-0.013,+0.074,+0.004,-0.049,-0.189,-0.075,-0.039,-0.077,-0.045,-0.034,+0.047,-0.013,-0.109,+0.054
シロギス,長崎屋,732,-0.165,-0.009,-0.039,+0.032,-0.069,-0.176,+0.034,-0.020,-0.101,-0.023,+0.049,-0.145,+0.036,-0.011,+0.008,-0.027,+0.126,-0.072,-0.063,-0.058
タチウオ,吉久,716,-0.091,+0.001,+0.310,-0.113,+0.039,-0.045,+0.062,+0.008,+0.016,-0.014,+0.407,+0.170,+0.106,+0.000,-0.006,+0.019,+0.121,-0.132,-0.047,-0.164
マダイ,新幸丸,712,-0.011,+0.150,+0.095,+0.222,+0.052,-0.048,+0.119,-0.086,-0.031,+0.082,+0.363,-0.070,+0.025,+0.003,+0.007,+0.012,+0.125,+0.203,-0.043,+0.021
アジ,光進丸,677,-0.038,-0.051,+0.074,+0.037,+0.060,-0.075,+0.007,+0.048,-0.065,-0.033,+0.080,-0.084,+0.030,+0.007,-0.001,+0.013,+0.048,+0.002,-0.003,-0.120
ヒラメ,幸丸,673,+0.054,+0.036,-0.113,+0.175,+0.014,-0.218,-0.191,-0.005,-0.230,-0.133,-0.015,-0.014,-0.013,-0.059,-0.030,-0.037,+0.145,+0.029,-0.057,+0.011
マダイ,あまさけや丸,623,+0.111,-0.003,-0.139,-0.008,+0.090,-0.020,-0.100,-0.014,-0.034,-0.054,-0.195,-0.130,-0.053,-0.089,-0.067,-0.034,-0.040,-0.066,-0.045,+0.119
マダイ,海上つり堀まるや,601,,,,,,,,,,,,,,,,,,,,
アジ,船宿 まる八,596,+0.124,-0.057,-0.266,+0.234,+0.030,-0.022,-0.176,-0.031,-0.074,-0.088,-0.221,+0.096,-0.042,+0.046,+0.108,-0.010,+0.042,+0.148,+0.018,-0.044
タチウオ,釣船 五郎丸,588,-0.029,+0.012,+0.116,-0.036,+0.065,+0.012,+0.096,-0.002,+0.038,+0.039,+0.232,-0.019,-0.016,-0.108,-0.096,+0.024,+0.268,-0.187,-0.131,-0.102
マダコ,長崎屋,577,-0.123,-0.107,+0.362,-0.194,+0.100,+0.036,+0.073,+0.030,+0.024,+0.028,+0.328,+0.048,+0.018,-0.004,+0.027,-0.072,+0.043,-0.006,-0.046,+0.018
マダイ,幸栄丸,561,-0.101,+0.076,-0.018,+0.004,-0.077,+0.046,+0.045,-0.083,+0.049,+0.020,+0.027,-0.073,-0.049,+0.118,+0.103,+0.061,-0.022,+0.095,+0.022,-0.089
マダイ,第三幸栄丸,561,-0.099,+0.074,-0.012,+0.002,-0.076,+0.050,+0.048,-0.084,+0.053,+0.017,+0.030,-0.070,-0.050,+0.115,+0.101,+0.058,-0.021,+0.096,+0.020,-0.095
マダイ,日正丸,540,-0.018,+0.054,+0.059,-0.004,-0.037,-0.046,+0.047,+0.004,-0.031,+0.043,+0.201,-0.026,-0.032,+0.017,-0.013,-0.014,+0.109,+0.091,-0.071,+0.006
ワラサ,海上つり堀まるや,517,,,,,,,,,,,,,,,,,,,,
アジ,勘次郎丸,513,-0.027,-0.075,+0.032,+0.088,+0.058,-0.102,-0.022,+0.026,-0.122,-0.035,+0.100,-0.022,-0.005,+0.049,+0.040,+0.010,+0.006,-0.057,-0.014,-0.103
アジ,かめだや,497,+0.007,-0.058,-0.275,+0.049,+0.047,+0.053,-0.042,+0.029,+0.072,-0.038,-0.240,-0.033,-0.124,+0.052,-0.006,+0.054,-0.005,-0.030,+0.037,+0.059
アマダイ,山天丸,493,-0.070,+0.071,+0.188,-0.048,-0.036,-0.079,+0.105,-0.022,-0.000,+0.017,+0.171,+0.024,+0.020,-0.057,-0.014,+0.071,-0.032,-0.072,+0.043,+0.033
クロダイ,林遊船,475,+0.081,+0.000,-0.006,+0.087,-0.069,+0.037,-0.069,+0.014,+0.015,-0.095,-0.068,+0.019,-0.047,-0.010,-0.042,+0.001,+0.007,+0.014,-0.023,+0.049
マダイ,ちがさき丸,469,+0.121,-0.040,+0.145,+0.052,+0.179,+0.063,-0.084,-0.151,+0.037,-0.023,+0.263,+0.132,+0.053,+0.006,-0.021,-0.028,+0.007,-0.028,+0.132,-0.139
アマダイ,庄治郎丸,455,+0.062,-0.050,-0.082,+0.050,-0.031,+0.001,+0.028,-0.017,+0.004,+0.090,-0.040,+0.105,+0.111,+0.053,+0.039,-0.013,+0.035,+0.038,-0.005,+0.012
アジ,林遊船,438,-0.002,+0.102,-0.223,+0.195,-0.086,+0.026,-0.126,+0.014,+0.017,-0.096,-0.150,-0.116,-0.040,+0.042,+0.018,-0.056,+0.108,-0.039,+0.032,-0.001
アジ,渡辺釣船店,425,-0.022,+0.064,-0.181,-0.101,+0.013,+0.098,-0.170,+0.119,+0.093,-0.239,-0.173,-0.043,-0.033,+0.020,+0.018,+0.046,-0.019,-0.007,-0.012,+0.080
サワラ,林遊船,419,+0.042,+0.007,-0.033,+0.122,+0.003,-0.019,-0.090,-0.050,-0.099,-0.059,-0.026,+0.069,+0.063,+0.050,+0.069,-0.012,-0.056,+0.071,+0.089,+0.070
シロギス,かめだや,412,-0.147,-0.014,+0.116,-0.041,-0.058,-0.105,+0.118,+0.048,-0.020,+0.012,+0.180,+0.064,+0.079,+0.018,-0.025,+0.009,+0.145,-0.158,-0.012,-0.131
アジ,こなや丸,409,+0.046,-0.122,-0.199,+0.171,-0.001,+0.063,-0.040,-0.026,+0.049,+0.067,-0.119,-0.113,-0.113,-0.086,-0.009,-0.016,+0.113,-0.075,-0.006,-0.051
アマダイ,ちがさき丸,394,+0.108,-0.006,+0.212,+0.030,+0.132,+0.072,+0.065,-0.162,+0.071,+0.103,+0.230,+0.135,+0.106,-0.029,-0.030,-0.009,+0.059,-0.069,-0.017,-0.108
マルイカ,喜平治丸,388,-0.078,-0.010,+0.036,-0.097,+0.117,+0.024,-0.006,+0.016,+0.067,-0.074,-0.075,-0.007,-0.009,-0.029,+0.027,-0.018,-0.105,-0.012,-0.025,+0.049
ヒラメ,明広丸,381,+0.121,+0.001,-0.052,-0.090,+0.017,-0.102,-0.171,+0.018,-0.133,-0.124,+0.076,-0.027,+0.170,-0.078,+0.012,-0.020,+0.131,+0.023,-0.110,-0.045
タチウオ,こなや丸,379,-0.099,+0.037,+0.411,-0.205,-0.016,-0.005,+0.089,+0.035,+0.069,+0.020,+0.452,+0.026,-0.024,+0.003,+0.052,-0.102,+0.090,+0.076,-0.035,-0.111
フグ,野毛屋釣船店,379,-0.107,+0.101,+0.348,-0.081,+0.084,-0.011,+0.196,-0.009,+0.065,+0.102,+0.340,+0.161,-0.049,+0.074,-0.000,+0.104,-0.071,-0.038,+0.028,-0.052
マダイ,大貫丸,372,-0.037,+0.030,+0.149,+0.051,+0.017,-0.071,-0.014,-0.002,-0.065,-0.012,+0.284,+0.019,+0.070,-0.032,-0.084,+0.039,+0.094,+0.080,-0.089,+0.059
アマダイ,山下丸,370,-0.061,+0.032,+0.028,-0.065,-0.039,-0.035,-0.017,-0.005,-0.029,-0.006,+0.039,-0.045,-0.053,+0.004,+0.033,-0.022,-0.044,+0.064,+0.111,+0.017
タチウオ,福よし丸,364,+0.002,-0.052,+0.172,-0.024,+0.099,-0.039,+0.096,-0.019,-0.056,+0.100,+0.259,+0.086,+0.056,-0.099,-0.066,+0.035,+0.186,-0.181,-0.060,-0.071
アジ,長崎屋,358,+0.102,-0.012,-0.281,+0.019,-0.010,+0.050,-0.060,-0.052,-0.039,-0.006,-0.078,-0.026,-0.036,-0.018,-0.036,+0.021,+0.070,-0.137,+0.064,-0.012
フグ,敷嶋丸,342,-0.166,+0.042,-0.035,+0.041,-0.016,-0.241,-0.145,+0.180,-0.202,-0.201,-0.019,-0.035,-0.067,-0.003,-0.049,-0.013,-0.048,-0.111,+0.028,+0.011
アカムツ,仁徳丸,340,-0.061,-0.013,+0.099,-0.014,+0.037,+0.076,+0.069,-0.040,+0.076,+0.068,+0.206,+0.029,+0.011,+0.091,-0.051,-0.113,+0.016,+0.069,-0.010,+0.033
