# 日次 vs 週次平均 相関係数比較

因子                        日次r    n_日         週次r    n_週  堅牢性
--------------------------------------------------------------------------------

=== アオリイカ × 佐衛美丸  (日次n=42, 週次n=29) ===
  風速(m/s)             -0.223        42   -0.313        29  －   非有意
  風向(度)               +0.071        42   +0.089        29  －   非有意
  気温(℃)               +0.055        42   +0.054        29  －   非有意
  気圧(hPa)             +0.222        42   +0.207        29  －   非有意
  波高(m)               -0.064        42   -0.052        29  －   非有意
  波周期(s)              +0.182        42   +0.132        29  －   非有意
  うねり高(m)             -0.044        42   -0.034        29  －   非有意
  水温(℃)               -0.042        42   -0.065        29  －   非有意
  海流速(km/h)           -0.114        42   -0.127        29  －   非有意
  潮差(cm)              -0.143        42   -0.106        29  －   非有意
  月齢(日)               +0.055        42   +0.076        29  －   非有意
  満潮1水位(cm)           +0.072        42   +0.017        29  －   非有意
  干潮1水位(cm)           +0.063        42   +0.063        29  －   非有意

=== アカムツ × 仁徳丸  (日次n=322, 週次n=114) ===
  風速(m/s)             -0.061       322   +0.024       114  －   非有意
  風向(度)               -0.013       322   +0.005       114  －   非有意
  気温(℃)               +0.099       322   +0.076       114  －   非有意
  気圧(hPa)             -0.014       322   -0.009       114  －   非有意
  波高(m)               +0.076       322   +0.094       114  －   非有意
  波周期(s)              +0.069       322   +0.067       114  －   非有意
  うねり高(m)             +0.076       322   +0.090       114  －   非有意
  水温(℃)               +0.206***    314   +0.173       112  △   週次で消滅（疑似反復の疑い）
  海流速(km/h)           +0.029       321   +0.113       114  －   非有意
  潮差(cm)              -0.051       322   +0.054       114  －   非有意
  月齢(日)               -0.113*      322   -0.147       114  △   週次で消滅（疑似反復の疑い）
  満潮1水位(cm)           +0.069       322   +0.176       114  －   非有意
  干潮1水位(cm)           +0.033       322   -0.014       114  －   非有意

=== アカメフグ × 吉久  (日次n=210, 週次n=53) ===
  風速(m/s)             +0.016       210   +0.083        53  －   非有意
  風向(度)               +0.021       210   +0.113        53  －   非有意
  気温(℃)               -0.056       210   -0.155        53  －   非有意
  気圧(hPa)             -0.005       210   -0.227        53  －   非有意
  波高(m)               +0.008       210   +0.198        53  －   非有意
  波周期(s)              -0.060       209   -0.079        53  －   非有意
  うねり高(m)             -0.016       210   +0.063        53  －   非有意
  水温(℃)               -0.020       210   -0.142        53  －   非有意
  海流速(km/h)           -0.076       210   -0.254        53  －   非有意
  潮差(cm)              -0.005       210   -0.040        53  －   非有意
  月齢(日)               +0.036       210   +0.065        53  －   非有意
  満潮1水位(cm)           -0.093       210   -0.109        53  －   非有意
  干潮1水位(cm)           +0.035       210   -0.030        53  －   非有意

=== アジ × あまさけや丸  (日次n=78, 週次n=56) ===
  風速(m/s)             -0.158        78   -0.156        56  －   非有意
  風向(度)               -0.082        78   -0.093        56  －   非有意
  気温(℃)               +0.014        78   +0.115        56  －   非有意
  気圧(hPa)             +0.034        78   -0.024        56  －   非有意
  波高(m)               -0.155        78   -0.173        56  －   非有意
  波周期(s)              +0.022        78   -0.027        56  －   非有意
  うねり高(m)             -0.083        78   -0.090        56  －   非有意
  水温(℃)               -0.022        78   +0.048        56  －   非有意
  海流速(km/h)           +0.251*       77   +0.164        56  △   週次で消滅（疑似反復の疑い）
  潮差(cm)              +0.147        78   +0.069        56  －   非有意
  月齢(日)               +0.128        78   +0.186        56  －   非有意
  満潮1水位(cm)           +0.150        78   +0.054        56  －   非有意
  干潮1水位(cm)           -0.129        78   -0.050        56  －   非有意

=== アジ × かめだや  (日次n=497, 週次n=156) ===
  風速(m/s)             +0.007       497   -0.011       156  －   非有意
  風向(度)               -0.058       497   -0.021       156  －   非有意
  気温(℃)               -0.275***    497   -0.386***    156  ★   r差大
  気圧(hPa)             +0.049       497   +0.187*      156  ◇   週次のみ有意
  波高(m)               +0.053       497   +0.023       156  －   非有意
  波周期(s)              -0.042       497   -0.202*      156  ◇   週次のみ有意
  うねり高(m)             +0.072       497   -0.033       156  －   非有意
