port,date,hour,tide_cm
横須賀,2024-08-01,00,156.5
横須賀,2024-08-01,01,156.4
横須賀,2024-08-01,02,150.7
横須賀,2024-08-01,03,138.5
横須賀,2024-08-01,04,120.3
横須賀,2024-08-01,05,98
横須賀,2024-08-01,06,74.8
横須賀,2024-08-01,07,54.4
横須賀,2024-08-01,08,41.1
横須賀,2024-08-01,09,38.3
横須賀,2024-08-01,10,46.9
横須賀,2024-08-01,11,65.1
横須賀,2024-08-01,12,89.3
横須賀,2024-08-01,13,114.6
横須賀,2024-08-01,14,136.5
横須賀,2024-08-01,15,151.7
横須賀,2024-08-01,16,159.2
横須賀,2024-08-01,17,159.8
横須賀,2024-08-01,18,155.4
横須賀,2024-08-01,19,148.3
横須賀,2024-08-01,20,141.4
横須賀,2024-08-01,21,137.6
横須賀,2024-08-01,22,138.4
横須賀,2024-08-01,23,143.4
横須賀,2024-08-02,00,150.8
横須賀,2024-08-02,01,157.6
横須賀,2024-08-02,02,160.3
横須賀,2024-08-02,03,155.9
横須賀,2024-08-02,04,143.2
横須賀,2024-08-02,05,123
横須賀,2024-08-02,06,97.8
横須賀,2024-08-02,07,71.1
横須賀,2024-08-02,08,48
横須賀,2024-08-02,09,33.5
横須賀,2024-08-02,10,31.6
横須賀,2024-08-02,11,42.9
横須賀,2024-08-02,12,65.1
横須賀,2024-08-02,13,93.7
横須賀,2024-08-02,14,122.7
横須賀,2024-08-02,15,146.4
横須賀,2024-08-02,16,161.2
横須賀,2024-08-02,17,166.4
横須賀,2024-08-02,18,163.3
横須賀,2024-08-02,19,154.3
横須賀,2024-08-02,20,142.9
横須賀,2024-08-02,21,133.2
横須賀,2024-08-02,22,128.8
横須賀,2024-08-02,23,131.5
横須賀,2024-08-03,00,140.1
横須賀,2024-08-03,01,151.9
横須賀,2024-08-03,02,162.4
横須賀,2024-08-03,03,167
横須賀,2024-08-03,04,162.1
横須賀,2024-08-03,05,147
横須賀,2024-08-03,06,123.3
横須賀,2024-08-03,07,94.4
横須賀,2024-08-03,08,64.8
横須賀,2024-08-03,09,40.5
横須賀,2024-08-03,10,27.2
横須賀,2024-08-03,11,28.6
横須賀,2024-08-03,12,44.7
横須賀,2024-08-03,13,72
横須賀,2024-08-03,14,104.5
横須賀,2024-08-03,15,135.2
横須賀,2024-08-03,16,157.8
横須賀,2024-08-03,17,169.2
横須賀,2024-08-03,18,169.4
横須賀,2024-08-03,19,160.8
横須賀,2024-08-03,20,146.7
横須賀,2024-08-03,21,131.9
横須賀,2024-08-03,22,121.5
横須賀,2024-08-03,23,119.4
横須賀,2024-08-04,00,126.4
横須賀,2024-08-04,01,140.2
横須賀,2024-08-04,02,156.5
横須賀,2024-08-04,03,169.5
横須賀,2024-08-04,04,173.7
横須賀,2024-08-04,05,166.2
横須賀,2024-08-04,06,147.1
横須賀,2024-08-04,07,119.4
横須賀,2024-08-04,08,87.3
横須賀,2024-08-04,09,56.4
横須賀,2024-08-04,10,33.3
横須賀,2024-08-04,11,24
横須賀,2024-08-04,12,31.2
横須賀,2024-08-04,13,53.3
横須賀,2024-08-04,14,85.5
横須賀,2024-08-04,15,120.3
横須賀,2024-08-04,16,149.9
横須賀,2024-08-04,17,168.3
横須賀,2024-08-04,18,173.5
横須賀,2024-08-04,19,167.1
横須賀,2024-08-04,20,152.5
横須賀,2024-08-04,21,134.2
横須賀,2024-08-04,22,118.1
横須賀,2024-08-04,23,109.7
横須賀,2024-08-05,00,112.2
横須賀,2024-08-05,01,124.8
横須賀,2024-08-05,02,143.7
横須賀,2024-08-05,03,163.1
横須賀,2024-08-05,04,176.2
横須賀,2024-08-05,05,177.7
横須賀,2024-08-05,06,165.7
横須賀,2024-08-05,07,142.1
横須賀,2024-08-05,08,110.9
横須賀,2024-08-05,09,77.3
横須賀,2024-08-05,10,47.6
横須賀,2024-08-05,11,28.9
横須賀,2024-08-05,12,26.2
横須賀,2024-08-05,13,40.6
横須賀,2024-08-05,14,68.8
横須賀,2024-08-05,15,104.2
横須賀,2024-08-05,16,138.5
横須賀,2024-08-05,17,163.8
横須賀,2024-08-05,18,175.2
横須賀,2024-08-05,19,172.7
横須賀,2024-08-05,20,159.3
横須賀,2024-08-05,21,139.6
横須賀,2024-08-05,22,119.2
横須賀,2024-08-05,23,104.5
横須賀,2024-08-06,00,100.4
横須賀,2024-08-06,01,108.7
横須賀,2024-08-06,02,126.8
横須賀,2024-08-06,03,149.3
横須賀,2024-08-06,04,169.3
横須賀,2024-08-06,05,179.9
横須賀,2024-08-06,06,176.7
横須賀,2024-08-06,07,159.7
横須賀,2024-08-06,08,132.2
横須賀,2024-08-06,09,99.3
横須賀,2024-08-06,10,66.7
横須賀,2024-08-06,11,41.4
横須賀,2024-08-06,12,29.7
横須賀,2024-08-06,13,35.2
横須賀,2024-08-06,14,57
横須賀,2024-08-06,15,89.7
横須賀,2024-08-06,16,125.7
横須賀,2024-08-06,17,156.1
横須賀,2024-08-06,18,173.9
横須賀,2024-08-06,19,176.6
横須賀,2024-08-06,20,166
横須賀,2024-08-06,21,146.6
横須賀,2024-08-06,22,124
横須賀,2024-08-06,23,104.2
横須賀,2024-08-07,00,93.3
横須賀,2024-08-07,01,95
横須賀,2024-08-07,02,109
横須賀,2024-08-07,03,131.2
横須賀,2024-08-07,04,154.9
横須賀,2024-08-07,05,172.8
横須賀,2024-08-07,06,178.8
横須賀,2024-08-07,07,170.2
横須賀,2024-08-07,08,148.9
横須賀,2024-08-07,09,119.3
横須賀,2024-08-07,10,87.2
横須賀,2024-08-07,11,58.7
横須賀,2024-08-07,12,40.4
横須賀,2024-08-07,13,37.5
横須賀,2024-08-07,14,51.4
横須賀,2024-08-07,15,78.9
横須賀,2024-08-07,16,113.4
横須賀,2024-08-07,17,146.2
横須賀,2024-08-07,18,169.4
横須賀,2024-08-07,19,177.8
横須賀,2024-08-07,20,171.3
横須賀,2024-08-07,21,153.8
横須賀,2024-08-07,22,130.7
横須賀,2024-08-07,23,107.8
横須賀,2024-08-08,00,91.2
横須賀,2024-08-08,01,85.9
横須賀,2024-08-08,02,93.6
横須賀,2024-08-08,03,112.1
横須賀,2024-08-08,04,136
横須賀,2024-08-08,05,158.3
横須賀,2024-08-08,06,172
横須賀,2024-08-08,07,172.6
横須賀,2024-08-08,08,159.3
横須賀,2024-08-08,09,135.4
横須賀,2024-08-08,10,106.4
横須賀,2024-08-08,11,78
横須賀,2024-08-08,12,56.1
横須賀,2024-08-08,13,46.5
横須賀,2024-08-08,14,52.5
横須賀,2024-08-08,15,73.2
横須賀,2024-08-08,16,103.6
横須賀,2024-08-08,17,136
横須賀,2024-08-08,18,162.2
横須賀,2024-08-08,19,175.8
横須賀,2024-08-08,20,174.3
横須賀,2024-08-08,21,159.8
横須賀,2024-08-08,22,137.7
横須賀,2024-08-08,23,113.7
横須賀,2024-08-09,00,93.4
横須賀,2024-08-09,01,81.8
横須賀,2024-08-09,02,82.4
横須賀,2024-08-09,03,95
横須賀,2024-08-09,04,115.9
横須賀,2024-08-09,05,139.2
横須賀,2024-08-09,06,158.1
横須賀,2024-08-09,07,166.8
横須賀,2024-08-09,08,162.4
横須賀,2024-08-09,09,146.3
横須賀,2024-08-09,10,122.6
横須賀,2024-08-09,11,96.8
横須賀,2024-08-09,12,74.4
横須賀,2024-08-09,13,60.7
横須賀,2024-08-09,14,59.9
横須賀,2024-08-09,15,73.2
横須賀,2024-08-09,16,97.6
横須賀,2024-08-09,17,127
横須賀,2024-08-09,18,153.7
横須賀,2024-08-09,19,170.9
横須賀,2024-08-09,20,174.2
横須賀,2024-08-09,21,163.9
横須賀,2024-08-09,22,144
横須賀,2024-08-09,23,120.3
横須賀,2024-08-10,00,98.1
横須賀,2024-08-10,01,82.3
横須賀,2024-08-10,02,76.4
横須賀,2024-08-10,03,82.1
横須賀,2024-08-10,04,97.6
横須賀,2024-08-10,05,118.6
横須賀,2024-08-10,06,139.3
横須賀,2024-08-10,07,153.8
横須賀,2024-08-10,08,158
横須賀,2024-08-10,09,150.7
横須賀,2024-08-10,10,134.3
横須賀,2024-08-10,11,113.4
横須賀,2024-08-10,12,93.1
横須賀,2024-08-10,13,78
横須賀,2024-08-10,14,72.4
横須賀,2024-08-10,15,78.7
横須賀,2024-08-10,16,96.2
横須賀,2024-08-10,17,120.6
横須賀,2024-08-10,18,145.4
横須賀,2024-08-10,19,164
横須賀,2024-08-10,20,171.4
横須賀,2024-08-10,21,165.7
横須賀,2024-08-10,22,149.3
横須賀,2024-08-10,23,127.1
横須賀,2024-08-11,00,104.6
横須賀,2024-08-11,01,86.1
横須賀,2024-08-11,02,75.3
横須賀,2024-08-11,03,74.2
横須賀,2024-08-11,04,83
横須賀,2024-08-11,05,99.2
横須賀,2024-08-11,06,118.4
横須賀,2024-08-11,07,135.6
横須賀,2024-08-11,08,146.3
横須賀,2024-08-11,09,147.7
横須賀,2024-08-11,10,140
横須賀,2024-08-11,11,126.1
横須賀,2024-08-11,12,110.1
横須賀,2024-08-11,13,96.3
横須賀,2024-08-11,14,88.4
横須賀,2024-08-11,15,89.2
横須賀,2024-08-11,16,99.6
横須賀,2024-08-11,17,117.6
横須賀,2024-08-11,18,138.4
横須賀,2024-08-11,19,156.4
横須賀,2024-08-11,20,166.3
横須賀,2024-08-11,21,165.2
横須賀,2024-08-11,22,153.3
横須賀,2024-08-11,23,134.2
横須賀,2024-08-12,00,112.6
横須賀,2024-08-12,01,93
横須賀,2024-08-12,02,78.6
横須賀,2024-08-12,03,71.8
横須賀,2024-08-12,04,73.6
横須賀,2024-08-12,05,83.1
横須賀,2024-08-12,06,97.9
横須賀,2024-08-12,07,114.4
横須賀,2024-08-12,08,128.5
横須賀,2024-08-12,09,137
横須賀,2024-08-12,10,138.3
横須賀,2024-08-12,11,132.9
横須賀,2024-08-12,12,123.6
横須賀,2024-08-12,13,113.5
横須賀,2024-08-12,14,105.8
横須賀,2024-08-12,15,103.3
横須賀,2024-08-12,16,107.6
横須賀,2024-08-12,17,118.7
横須賀,2024-08-12,18,133.8
横須賀,2024-08-12,19,149
横須賀,2024-08-12,20,159.7
