point,date,hour,wave_height,wave_period,wind_speed,wind_dir,sst,weather_code
洲崎沖,2025-06-01,00,1.6,8.6,3.9,2,21.4,3
洲崎沖,2025-06-01,03,1.4,8.2,1.5,61,21.9,53
洲崎沖,2025-06-01,06,1.2,7.8,2.5,70,22.4,51
洲崎沖,2025-06-01,09,1.2,7.8,3.5,72,22.8,2
洲崎沖,2025-06-01,12,1.1,7.5,5.2,102,23.0,0
洲崎沖,2025-06-01,15,1.1,7.3,3.8,110,23.1,2
洲崎沖,2025-06-01,18,1.5,8.3,4.0,78,23.2,3
洲崎沖,2025-06-01,21,1.3,8.0,3.7,75,23.2,3
洲崎沖,2025-06-02,00,1.2,7.8,3.6,98,23.2,3
洲崎沖,2025-06-02,03,1.1,7.5,2.8,95,23.2,3
洲崎沖,2025-06-02,06,1.0,7.5,1.7,122,23.3,3
洲崎沖,2025-06-02,09,0.9,7.0,2.8,128,23.4,51
洲崎沖,2025-06-02,12,0.9,7.0,5.5,139,23.4,51
洲崎沖,2025-06-02,15,0.9,6.8,5.0,143,23.4,51
洲崎沖,2025-06-02,18,0.9,6.8,3.8,160,23.3,3
洲崎沖,2025-06-02,21,0.9,6.3,3.4,213,23.2,3
洲崎沖,2025-06-03,00,1.0,6.2,5.6,213,23.0,3
洲崎沖,2025-06-03,03,1.0,6.2,5.0,217,23.0,3
洲崎沖,2025-06-03,06,1.0,6.8,5.0,236,22.9,51
洲崎沖,2025-06-03,09,0.9,7.0,3.3,207,22.8,55
洲崎沖,2025-06-03,12,0.8,7.2,4.5,143,22.7,63
洲崎沖,2025-06-03,15,1.0,6.0,8.1,119,22.6,55
洲崎沖,2025-06-03,18,1.4,5.8,5.9,137,22.5,63
洲崎沖,2025-06-03,21,1.7,6.5,5.8,335,22.4,3
洲崎沖,2025-06-04,00,1.8,6.8,3.9,344,22.2,3
洲崎沖,2025-06-04,03,1.7,7.0,0.9,341,22.1,3
洲崎沖,2025-06-04,06,1.6,7.0,1.1,113,22.1,1
洲崎沖,2025-06-04,09,1.6,7.2,3.0,128,22.2,1
洲崎沖,2025-06-04,12,1.5,7.0,2.8,257,22.1,3
洲崎沖,2025-06-04,15,1.6,6.8,3.5,235,22.0,3
洲崎沖,2025-06-04,18,1.6,6.5,8.0,243,21.6,0
洲崎沖,2025-06-04,21,1.6,6.2,5.4,239,21.4,0
洲崎沖,2025-06-05,00,1.5,6.3,3.7,3,21.3,0
洲崎沖,2025-06-05,03,1.3,6.3,4.6,349,21.3,2
洲崎沖,2025-06-05,06,1.1,6.5,1.8,34,21.2,2
洲崎沖,2025-06-05,09,1.0,6.7,1.0,33,21.1,63
洲崎沖,2025-06-05,12,0.9,6.9,3.4,161,21.4,0
洲崎沖,2025-06-05,15,0.9,6.7,3.6,176,21.6,0
洲崎沖,2025-06-05,18,0.9,6.4,4.3,175,21.5,0
洲崎沖,2025-06-05,21,0.9,6.2,4.0,179,21.3,0
洲崎沖,2025-06-06,00,0.9,6.0,6.4,219,21.1,2
洲崎沖,2025-06-06,03,1.0,5.8,5.5,215,21.0,3
洲崎沖,2025-06-06,06,1.0,5.8,5.7,213,21.0,3
洲崎沖,2025-06-06,09,1.0,6.0,5.7,216,21.0,2
洲崎沖,2025-06-06,12,1.0,6.1,6.1,202,21.0,3
洲崎沖,2025-06-06,15,1.0,5.8,6.9,205,21.1,3
洲崎沖,2025-06-06,18,1.0,5.7,6.6,212,21.0,3
洲崎沖,2025-06-06,21,1.0,5.7,6.2,224,20.9,3
洲崎沖,2025-06-07,00,1.0,5.7,6.7,229,20.8,3
洲崎沖,2025-06-07,03,1.0,5.9,6.3,229,20.6,3
洲崎沖,2025-06-07,06,1.0,6.0,5.4,213,20.6,3
洲崎沖,2025-06-07,09,0.9,6.3,5.7,222,20.6,3
洲崎沖,2025-06-07,12,0.9,6.2,5.2,192,20.8,3
洲崎沖,2025-06-07,15,0.9,5.8,6.3,193,20.9,3
洲崎沖,2025-06-07,18,1.0,6.2,4.8,189,20.9,3
洲崎沖,2025-06-07,21,1.0,6.5,4.0,203,20.8,1
洲崎沖,2025-06-08,00,0.9,6.5,4.2,210,20.6,3
洲崎沖,2025-06-08,03,0.8,6.5,3.5,254,20.6,3
洲崎沖,2025-06-08,06,0.8,6.6,2.4,292,20.6,3
洲崎沖,2025-06-08,09,0.8,6.7,1.4,312,20.6,3
洲崎沖,2025-06-08,12,0.9,6.6,2.0,333,20.8,3
洲崎沖,2025-06-08,15,0.8,6.5,2.0,72,21.0,3
洲崎沖,2025-06-08,18,0.8,6.5,2.1,141,21.0,3
洲崎沖,2025-06-08,21,0.8,6.2,4.4,208,21.1,3
洲崎沖,2025-06-09,00,0.8,6.2,2.7,229,21.1,3
洲崎沖,2025-06-09,03,0.8,6.5,3.8,198,21.1,3
洲崎沖,2025-06-09,06,0.7,6.4,3.7,168,21.2,3
洲崎沖,2025-06-09,09,0.8,5.9,3.3,178,21.3,3
洲崎沖,2025-06-09,12,0.8,5.8,3.1,161,21.5,3
洲崎沖,2025-06-09,15,0.7,6.0,3.2,132,21.5,51
洲崎沖,2025-06-09,18,0.7,6.2,2.6,102,21.4,61
洲崎沖,2025-06-09,21,0.7,6.2,1.8,93,21.2,63
洲崎沖,2025-06-10,00,0.8,6.0,1.8,109,21.2,51
洲崎沖,2025-06-10,03,0.8,6.2,2.4,22,21.1,53
洲崎沖,2025-06-10,06,0.8,6.5,2.0,36,21.2,63
洲崎沖,2025-06-10,09,0.8,6.3,2.2,67,21.3,55
洲崎沖,2025-06-10,12,0.9,5.8,2.5,185,21.6,51
洲崎沖,2025-06-10,15,1.0,5.0,7.2,224,21.9,51
洲崎沖,2025-06-10,18,1.3,4.9,9.6,226,21.6,3
洲崎沖,2025-06-10,21,1.4,5.0,9.6,229,21.4,3
洲崎沖,2025-06-11,00,1.7,5.2,9.3,227,21.1,3
洲崎沖,2025-06-11,03,2.0,5.5,11.2,222,20.9,51
洲崎沖,2025-06-11,06,2.1,5.8,10.8,228,20.7,3
洲崎沖,2025-06-11,09,2.3,6.0,10.9,228,20.6,3
洲崎沖,2025-06-11,12,2.3,6.2,10.2,231,20.6,2
洲崎沖,2025-06-11,15,2.2,6.1,9.7,237,20.6,3
洲崎沖,2025-06-11,18,2.0,6.2,9.6,247,20.7,51
洲崎沖,2025-06-11,21,1.6,6.0,7.0,248,20.8,3
